15-10-23spec_0009_0183.txt

Exposure (ms)	5000
Row number	Wavelength (nm)	Energy (eV)	Amplitude (a.u.)
0.000	53.570	23.144	142.689
1.000	53.738	23.072	144.244
2.000	53.905	23.000	142.333
3.000	54.073	22.929	143.822
4.000	54.240	22.858	142.000
5.000	54.408	22.788	142.911
6.000	54.575	22.718	142.133
7.000	54.742	22.649	143.889
8.000	54.910	22.580	142.778
9.000	55.077	22.511	143.711
10.000	55.245	22.443	144.422
11.000	55.412	22.375	144.044
12.000	55.579	22.308	144.644
13.000	55.747	22.241	143.911
14.000	55.914	22.174	144.689
15.000	56.082	22.108	144.356
16.000	56.249	22.042	144.844
17.000	56.417	21.977	145.356
18.000	56.584	21.912	143.867
19.000	56.751	21.847	145.178
20.000	56.919	21.783	144.267
21.000	57.086	21.719	145.222
22.000	57.254	21.655	145.556
23.000	57.421	21.592	143.778
24.000	57.588	21.529	147.511
25.000	57.756	21.467	146.667
26.000	57.923	21.405	147.778
27.000	58.091	21.343	146.622
28.000	58.258	21.282	146.200
29.000	58.426	21.221	145.422
30.000	58.593	21.160	145.044
31.000	58.760	21.100	144.622
32.000	58.928	21.040	142.711
33.000	59.095	20.980	142.044
34.000	59.263	20.921	139.956
35.000	59.430	20.862	136.756
36.000	59.597	20.804	134.244
37.000	59.765	20.745	130.333
38.000	59.932	20.687	124.756
39.000	60.100	20.630	119.889
40.000	60.267	20.572	115.111
41.000	60.434	20.515	111.267
42.000	60.602	20.459	109.356
43.000	60.769	20.402	109.111
44.000	60.937	20.346	109.111
45.000	61.104	20.291	109.311
46.000	61.272	20.235	108.867
47.000	61.439	20.180	109.067
48.000	61.606	20.125	108.467
49.000	61.774	20.071	108.533
50.000	61.941	20.016	108.356
51.000	62.109	19.962	107.978
52.000	62.276	19.909	107.822
53.000	62.443	19.855	107.378
54.000	62.611	19.802	108.178
55.000	62.778	19.750	107.200
56.000	62.946	19.697	107.667
57.000	63.113	19.645	108.667
58.000	63.281	19.593	108.556
59.000	63.448	19.541	108.778
60.000	63.615	19.490	108.867
61.000	63.783	19.439	109.000
62.000	63.950	19.388	109.444
63.000	64.118	19.337	109.956
64.000	64.285	19.287	110.489
65.000	64.452	19.237	111.156
66.000	64.620	19.187	114.400
67.000	64.787	19.137	117.644
68.000	64.955	19.088	118.800
69.000	65.122	19.039	115.956
70.000	65.290	18.990	112.044
71.000	65.457	18.941	111.600
72.000	65.624	18.893	109.911
73.000	65.792	18.845	111.244
74.000	65.959	18.797	110.644
75.000	66.127	18.750	110.089
76.000	66.294	18.702	110.489
77.000	66.461	18.655	111.022
78.000	66.629	18.608	110.222
