15-10-23spec_0009_0034.txt

Exposure (ms)	5000
Row number	Wavelength (nm)	Energy (eV)	Amplitude (a.u.)
0.000	53.570	23.144	214.467
1.000	53.738	23.072	215.756
2.000	53.905	23.000	212.222
3.000	54.073	22.929	213.311
4.000	54.240	22.858	215.733
5.000	54.408	22.788	214.200
6.000	54.575	22.718	214.733
7.000	54.742	22.649	216.222
8.000	54.910	22.580	215.733
9.000	55.077	22.511	214.956
10.000	55.245	22.443	215.778
11.000	55.412	22.375	215.200
12.000	55.579	22.308	215.200
13.000	55.747	22.241	215.622
14.000	55.914	22.174	216.200
15.000	56.082	22.108	215.178
16.000	56.249	22.042	216.644
17.000	56.417	21.977	216.356
18.000	56.584	21.912	215.644
19.000	56.751	21.847	216.222
20.000	56.919	21.783	218.089
21.000	57.086	21.719	219.444
22.000	57.254	21.655	218.778
23.000	57.421	21.592	217.667
24.000	57.588	21.529	221.289
25.000	57.756	21.467	217.467
26.000	57.923	21.405	218.133
27.000	58.091	21.343	219.422
28.000	58.258	21.282	217.911
29.000	58.426	21.221	217.356
30.000	58.593	21.160	216.667
31.000	58.760	21.100	214.333
32.000	58.928	21.040	213.800
33.000	59.095	20.980	208.622
34.000	59.263	20.921	209.156
35.000	59.430	20.862	203.978
36.000	59.597	20.804	201.511
37.000	59.765	20.745	191.200
38.000	59.932	20.687	182.556
39.000	60.100	20.630	172.067
40.000	60.267	20.572	164.933
41.000	60.434	20.515	158.756
42.000	60.602	20.459	155.800
43.000	60.769	20.402	155.044
44.000	60.937	20.346	154.889
45.000	61.104	20.291	155.889
46.000	61.272	20.235	154.911
47.000	61.439	20.180	154.600
48.000	61.606	20.125	152.778
49.000	61.774	20.071	154.200
50.000	61.941	20.016	151.511
51.000	62.109	19.962	152.622
52.000	62.276	19.909	151.489
53.000	62.443	19.855	152.600
54.000	62.611	19.802	152.067
55.000	62.778	19.750	152.556
56.000	62.946	19.697	153.089
57.000	63.113	19.645	152.022
58.000	63.281	19.593	151.511
59.000	63.448	19.541	153.689
60.000	63.615	19.490	154.689
61.000	63.783	19.439	154.022
62.000	63.950	19.388	154.867
63.000	64.118	19.337	153.956
64.000	64.285	19.287	154.822
65.000	64.452	19.237	155.467
66.000	64.620	19.187	155.667
67.000	64.787	19.137	153.600
68.000	64.955	19.088	155.022
69.000	65.122	19.039	156.222
70.000	65.290	18.990	156.800
71.000	65.457	18.941	159.222
72.000	65.624	18.893	162.956
73.000	65.792	18.845	170.200
74.000	65.959	18.797	168.289
75.000	66.127	18.750	165.289
76.000	66.294	18.702	159.689
77.000	66.461	18.655	159.800
78.000	66.629	18.608	159.889
79.000	66.796	18.562	158.622
80.000	66.964	18.515	159.800
81.000	67.131	18.469	163.133
82.000	67.299	18.423	164.200
83.000	67.466	18.377	170.644
84.000	67.633	18.332	177.311
85.000	67.801	18.287	187.867
86.000	67.968	18.242	198.222
87.000	68.136	18.197	200.200
88.000	68.303	18.152	193.111
89.000	68.470	18.108	181.822
90.000	68.638	18.064	171.667
91.000	68.805	18.020	167.000
92.000	68.973	17.976	166.378
93.000	69.140	17.932	168.244
94.000	69.307	17.889	167.289
95.000	69.475	17.846	164.644
96.000	69.642	17.803	163.578
97.000	69.810	17.760	164.733
98.000	69.977	17.718	164.044
99.000	70.145	17.676	164.622
100.000	70.312	17.633	164.733
101.000	70.479	17.592	164.133
102.000	70.647	17.550	166.844
103.000	70.814	17.508	167.311
104.000	70.982	17.467	167.422
105.000	71.149	17.426	168.022
106.000	71.316	17.385	171.778
107.000	71.484	17.344	174.667
108.000	71.651	17.304	175.933
109.000	71.819	17.263	173.733
110.000	71.986	17.223	172.044
111.000	72.154	17.183	170.756
112.000	72.321	17.144	171.933
113.000	72.488	17.104	172.533
114.000	72.656	17.065	176.089
115.000	72.823	17.025	179.822
116.000	72.991	16.986	179.333
117.000	73.158	16.947	176.467
118.000	73.325	16.909	177.578
119.000	73.493	16.870	178.733
120.000	73.660	16.832	180.867
121.000	73.828	16.794	183.689
122.000	73.995	16.756	189.489
123.000	74.163	16.718	197.822
124.000	74.330	16.680	206.889
125.000	74.497	16.643	216.000
126.000	74.665	16.605	223.622
127.000	74.832	16.568	234.511
128.000	75.000	16.531	239.978
129.000	75.167	16.494	238.822
130.000	75.334	16.458	234.178
131.000	75.502	16.421	241.844
132.000	75.669	16.385	261.578
133.000	75.837	16.349	288.556
134.000	76.004	16.313	312.022
135.000	76.171	16.277	338.489
136.000	76.339	16.241	359.622
137.000	76.506	16.206	373.111
138.000	76.674	16.170	371.711
139.000	76.841	16.135	373.400
140.000	77.009	16.100	389.289
141.000	77.176	16.065	413.578
142.000	77.343	16.030	423.644
143.000	77.511	15.996	425.911
144.000	77.678	15.961	464.244
145.000	77.846	15.927	535.933
146.000	78.013	15.893	614.533
147.000	78.180	15.859	662.178
148.000	78.348	15.825	666.067
149.000	78.515	15.791	661.489
150.000	78.683	15.757	661.489
151.000	78.850	15.724	667.333
152.000	79.018	15.691	692.800
153.000	79.185	15.658	736.533
154.000	79.352	15.625	769.756
155.000	79.520	15.592	806.533
156.000	79.687	15.559	837.022
157.000	79.855	15.526	845.911
158.000	80.022	15.494	834.778
159.000	80.189	15.461	809.489
160.000	80.357	15.429	772.756
161.000	80.524	15.397	719.311
162.000	80.692	15.365	672.022
163.000	80.859	15.333	626.489
164.000	81.027	15.302	576.333
165.000	81.194	15.270	516.089
166.000	81.361	15.239	468.689
167.000	81.529	15.207	426.600
168.000	81.696	15.176	403.422
169.000	81.864	15.145	401.556
170.000	82.031	15.114	435.067
171.000	82.198	15.084	495.311
172.000	82.366	15.053	572.222
173.000	82.533	15.022	639.000
174.000	82.701	14.992	705.022
175.000	82.868	14.962	765.400
176.000	83.036	14.931	807.533
177.000	83.203	14.901	854.689
178.000	83.370	14.871	900.333
179.000	83.538	14.842	902.356
180.000	83.705	14.812	873.778
181.000	83.873	14.782	812.556
182.000	84.040	14.753	726.022
183.000	84.207	14.724	637.356
184.000	84.375	14.694	550.200
185.000	84.542	14.665	480.067
186.000	84.710	14.636	458.600
187.000	84.877	14.608	485.644
188.000	85.044	14.579	560.444
189.000	85.212	14.550	656.289
190.000	85.379	14.522	728.289
191.000	85.547	14.493	784.889
192.000	85.714	14.465	817.067
193.000	85.882	14.437	818.311
194.000	86.049	14.409	793.867
195.000	86.216	14.381	755.756
196.000	86.384	14.353	712.978
197.000	86.551	14.325	669.889
198.000	86.719	14.297	667.244
199.000	86.886	14.270	680.867
200.000	87.053	14.242	688.644
201.000	87.221	14.215	666.178
202.000	87.388	14.188	607.844
203.000	87.556	14.161	550.822
204.000	87.723	14.134	517.778
205.000	87.891	14.107	535.600
206.000	88.058	14.080	586.822
207.000	88.225	14.053	668.667
208.000	88.393	14.027	731.444
209.000	88.560	14.000	771.667
210.000	88.728	13.974	841.200
211.000	88.895	13.947	893.422
212.000	89.062	13.921	908.333
213.000	89.230	13.895	887.822
214.000	89.397	13.869	846.911
215.000	89.565	13.843	819.622
216.000	89.732	13.817	791.378
217.000	89.900	13.791	799.489
218.000	90.067	13.766	818.844
219.000	90.234	13.740	825.756
220.000	90.402	13.715	810.111
221.000	90.569	13.689	756.533
222.000	90.737	13.664	719.178
223.000	90.904	13.639	688.311
224.000	91.071	13.614	658.689
225.000	91.239	13.589	642.911
226.000	91.406	13.564	629.622
227.000	91.574	13.539	623.133
228.000	91.741	13.515	638.956
229.000	91.908	13.490	654.156
230.000	92.076	13.465	663.733
231.000	92.243	13.441	667.956
232.000	92.411	13.417	660.556
233.000	92.578	13.392	660.600
234.000	92.746	13.368	661.733
235.000	92.913	13.344	652.378
236.000	93.080	13.320	646.711
237.000	93.248	13.296	633.422
238.000	93.415	13.272	628.222
239.000	93.583	13.249	623.889
240.000	93.750	13.225	610.667
241.000	93.917	13.201	596.333
242.000	94.085	13.178	577.422
243.000	94.252	13.154	560.911
244.000	94.420	13.131	578.822
245.000	94.587	13.108	632.667
246.000	94.755	13.085	646.178
247.000	94.922	13.062	647.378
248.000	95.089	13.039	674.267
249.000	95.257	13.016	683.822
250.000	95.424	12.993	679.133
251.000	95.592	12.970	664.800
252.000	95.759	12.948	644.200
253.000	95.926	12.925	602.489
254.000	96.094	12.902	577.178
255.000	96.261	12.880	558.044
256.000	96.429	12.858	539.356
257.000	96.596	12.835	538.289
258.000	96.764	12.813	527.733
259.000	96.931	12.791	511.933
260.000	97.098	12.769	501.422
261.000	97.266	12.747	482.444
262.000	97.433	12.725	447.844
263.000	97.601	12.703	425.000
264.000	97.768	12.681	420.622
265.000	97.935	12.660	418.400
266.000	98.103	12.638	419.867
267.000	98.270	12.617	437.533
268.000	98.438	12.595	441.689
269.000	98.605	12.574	455.156
270.000	98.773	12.553	485.867
271.000	98.940	12.531	498.756
272.000	99.107	12.510	475.800
273.000	99.275	12.489	461.778
274.000	99.442	12.468	458.800
275.000	99.610	12.447	430.333
276.000	99.777	12.426	404.644
277.000	99.944	12.405	402.600
278.000	100.112	12.385	403.667
279.000	100.279	12.364	403.644
280.000	100.447	12.343	433.244
281.000	100.614	12.323	450.644
282.000	100.781	12.302	437.800
283.000	100.949	12.282	406.733
284.000	101.116	12.262	379.444
285.000	101.284	12.241	349.311
286.000	101.451	12.221	312.067
287.000	101.619	12.201	304.400
288.000	101.786	12.181	302.711
289.000	101.953	12.161	296.022
290.000	102.121	12.141	280.067
291.000	102.288	12.121	272.867
292.000	102.456	12.101	267.244
293.000	102.623	12.082	260.378
294.000	102.790	12.062	257.822
295.000	102.958	12.042	260.244
296.000	103.125	12.023	261.711
297.000	103.293	12.003	267.578
298.000	103.460	11.984	290.467
299.000	103.628	11.964	320.689
300.000	103.795	11.945	330.333
301.000	103.962	11.926	320.600
302.000	104.130	11.907	305.578
303.000	104.297	11.888	279.667
304.000	104.465	11.869	257.000
305.000	104.632	11.850	245.422
306.000	104.799	11.831	252.244
307.000	104.967	11.812	272.556
308.000	105.134	11.793	284.844
309.000	105.302	11.774	295.044
310.000	105.469	11.755	297.822
311.000	105.637	11.737	281.644
312.000	105.804	11.718	255.622
313.000	105.971	11.700	239.933
314.000	106.139	11.681	241.889
315.000	106.306	11.663	249.911
316.000	106.474	11.645	255.133
317.000	106.641	11.626	253.267
318.000	106.808	11.608	251.822
319.000	106.976	11.590	256.889
320.000	107.143	11.572	260.622
321.000	107.311	11.554	263.422
322.000	107.478	11.536	269.956
323.000	107.645	11.518	283.244
324.000	107.813	11.500	269.533
325.000	107.980	11.482	237.867
326.000	108.148	11.464	221.667
327.000	108.315	11.447	220.289
328.000	108.483	11.429	220.489
329.000	108.650	11.411	212.622
330.000	108.817	11.394	203.822
331.000	108.985	11.376	203.933
332.000	109.152	11.359	204.911
333.000	109.320	11.341	202.222
334.000	109.487	11.324	197.156
335.000	109.654	11.307	193.956
336.000	109.822	11.290	194.822
337.000	109.989	11.272	194.222
338.000	110.157	11.255	190.889
339.000	110.324	11.238	189.800
340.000	110.492	11.221	194.111
341.000	110.659	11.204	198.978
342.000	110.826	11.187	200.711
343.000	110.994	11.170	194.467
344.000	111.161	11.154	189.178
345.000	111.329	11.137	190.600
346.000	111.496	11.120	191.067
347.000	111.663	11.103	198.044
348.000	111.831	11.087	202.711
349.000	111.998	11.070	200.867
350.000	112.166	11.054	194.600
351.000	112.333	11.037	192.511
352.000	112.501	11.021	192.022
353.000	112.668	11.004	193.622
354.000	112.835	10.988	199.178
355.000	113.003	10.972	209.156
356.000	113.170	10.956	214.067
357.000	113.338	10.939	213.844
358.000	113.505	10.923	213.622
359.000	113.672	10.907	206.022
360.000	113.840	10.891	201.689
361.000	114.007	10.875	200.911
362.000	114.175	10.859	205.444
363.000	114.342	10.843	209.400
364.000	114.510	10.827	213.044
365.000	114.677	10.812	225.267
366.000	114.844	10.796	237.156
367.000	115.012	10.780	247.778
368.000	115.179	10.764	246.356
369.000	115.347	10.749	239.889
370.000	115.514	10.733	239.022
371.000	115.681	10.718	237.578
372.000	115.849	10.702	222.156
373.000	116.016	10.687	212.733
374.000	116.184	10.671	215.867
375.000	116.351	10.656	217.778
376.000	116.518	10.641	212.600
377.000	116.686	10.625	204.089
378.000	116.853	10.610	201.756
379.000	117.021	10.595	202.422
380.000	117.188	10.580	200.378
381.000	117.356	10.565	205.289
382.000	117.523	10.550	215.822
383.000	117.690	10.535	236.178
384.000	117.858	10.520	252.556
385.000	118.025	10.505	259.711
386.000	118.193	10.490	261.444
387.000	118.360	10.475	259.933
388.000	118.527	10.460	253.200
389.000	118.695	10.446	241.089
390.000	118.862	10.431	229.467
391.000	119.030	10.416	223.489
392.000	119.197	10.402	224.844
393.000	119.365	10.387	224.689
394.000	119.532	10.372	217.022
395.000	119.699	10.358	212.578
396.000	119.867	10.343	203.756
397.000	120.034	10.329	203.089
398.000	120.202	10.315	203.444
399.000	120.369	10.300	198.644
400.000	120.536	10.286	195.911
401.000	120.704	10.272	192.689
402.000	120.871	10.258	194.044
403.000	121.039	10.243	195.067
404.000	121.206	10.229	194.333
405.000	121.374	10.215	196.778
406.000	121.541	10.201	198.000
407.000	121.708	10.187	203.800
408.000	121.876	10.173	211.689
409.000	122.043	10.159	219.644
410.000	122.211	10.145	228.933
411.000	122.378	10.131	240.244
412.000	122.545	10.117	253.267
413.000	122.713	10.104	267.933
414.000	122.880	10.090	283.289
415.000	123.048	10.076	288.000
416.000	123.215	10.062	289.511
417.000	123.383	10.049	291.600
418.000	123.550	10.035	294.978
419.000	123.717	10.022	290.711
420.000	123.885	10.008	284.111
421.000	124.052	9.995	272.400
422.000	124.220	9.981	270.489
423.000	124.387	9.968	271.289
424.000	124.554	9.954	263.511
425.000	124.722	9.941	249.444
426.000	124.889	9.928	234.444
427.000	125.057	9.914	224.267
428.000	125.224	9.901	214.178
429.000	125.391	9.888	212.067
430.000	125.559	9.875	214.244
431.000	125.726	9.861	224.933
432.000	125.894	9.848	237.400
433.000	126.061	9.835	243.022
434.000	126.229	9.822	247.911
435.000	126.396	9.809	250.889
