15-10-23spec_0009_0154.txt

Exposure (ms)	5000
Row number	Wavelength (nm)	Energy (eV)	Amplitude (a.u.)
0.000	53.570	23.144	138.267
1.000	53.738	23.072	138.178
2.000	53.905	23.000	138.022
3.000	54.073	22.929	136.733
4.000	54.240	22.858	139.067
5.000	54.408	22.788	136.556
6.000	54.575	22.718	139.533
7.000	54.742	22.649	138.378
8.000	54.910	22.580	137.867
9.000	55.077	22.511	138.622
10.000	55.245	22.443	139.022
11.000	55.412	22.375	138.400
12.000	55.579	22.308	138.867
13.000	55.747	22.241	138.022
14.000	55.914	22.174	139.111
15.000	56.082	22.108	139.489
16.000	56.249	22.042	138.644
17.000	56.417	21.977	139.600
18.000	56.584	21.912	140.600
19.000	56.751	21.847	140.400
20.000	56.919	21.783	139.489
21.000	57.086	21.719	139.956
22.000	57.254	21.655	140.533
23.000	57.421	21.592	140.889
24.000	57.588	21.529	141.689
25.000	57.756	21.467	142.222
26.000	57.923	21.405	140.889
27.000	58.091	21.343	141.022
28.000	58.258	21.282	139.489
29.000	58.426	21.221	141.911
30.000	58.593	21.160	139.956
31.000	58.760	21.100	138.533
32.000	58.928	21.040	139.400
33.000	59.095	20.980	136.000
34.000	59.263	20.921	135.111
35.000	59.430	20.862	133.489
36.000	59.597	20.804	129.644
37.000	59.765	20.745	126.756
38.000	59.932	20.687	121.244
39.000	60.100	20.630	115.800
40.000	60.267	20.572	111.156
41.000	60.434	20.515	107.222
42.000	60.602	20.459	106.933
43.000	60.769	20.402	106.867
44.000	60.937	20.346	104.644
45.000	61.104	20.291	105.689
46.000	61.272	20.235	105.022
47.000	61.439	20.180	106.089
48.000	61.606	20.125	104.644
49.000	61.774	20.071	104.644
50.000	61.941	20.016	104.444
51.000	62.109	19.962	104.378
52.000	62.276	19.909	105.111
53.000	62.443	19.855	105.089
54.000	62.611	19.802	104.889
55.000	62.778	19.750	104.622
56.000	62.946	19.697	103.889
57.000	63.113	19.645	104.533
58.000	63.281	19.593	104.422
59.000	63.448	19.541	105.733
60.000	63.615	19.490	105.556
61.000	63.783	19.439	104.333
62.000	63.950	19.388	104.689
63.000	64.118	19.337	105.578
64.000	64.285	19.287	105.044
65.000	64.452	19.237	105.444
66.000	64.620	19.187	105.578
67.000	64.787	19.137	104.956
68.000	64.955	19.088	105.022
69.000	65.122	19.039	105.978
70.000	65.290	18.990	105.756
71.000	65.457	18.941	106.067
72.000	65.624	18.893	106.200
73.000	65.792	18.845	107.756
74.000	65.959	18.797	105.800
75.000	66.127	18.750	107.156
76.000	66.294	18.702	106.622
77.000	66.461	18.655	108.133
78.000	66.629	18.608	105.911
79.000	66.796	18.562	105.778
80.000	66.964	18.515	108.156
81.000	67.131	18.469	109.089
82.000	67.299	18.423	110.422
83.000	67.466	18.377	112.089
84.000	67.633	18.332	110.156
85.000	67.801	18.287	108.644
86.000	67.968	18.242	109.444
87.000	68.136	18.197	108.622
88.000	68.303	18.152	107.756
89.000	68.470	18.108	108.333
90.000	68.638	18.064	109.467
91.000	68.805	18.020	108.756
92.000	68.973	17.976	108.844
93.000	69.140	17.932	110.267
94.000	69.307	17.889	109.533
95.000	69.475	17.846	109.533
96.000	69.642	17.803	111.111
97.000	69.810	17.760	111.644
98.000	69.977	17.718	112.156
99.000	70.145	17.676	114.911
100.000	70.312	17.633	119.444
101.000	70.479	17.592	126.267
102.000	70.647	17.550	130.400
103.000	70.814	17.508	127.956
104.000	70.982	17.467	125.622
105.000	71.149	17.426	120.844
106.000	71.316	17.385	115.356
107.000	71.484	17.344	114.578
108.000	71.651	17.304	113.556
109.000	71.819	17.263	113.689
110.000	71.986	17.223	112.956
111.000	72.154	17.183	114.089
112.000	72.321	17.144	115.244
