15-10-23spec_0009_0104.txt

Exposure (ms)	5000
Row number	Wavelength (nm)	Energy (eV)	Amplitude (a.u.)
0.000	53.570	23.144	154.000
1.000	53.738	23.072	151.889
2.000	53.905	23.000	151.822
3.000	54.073	22.929	152.089
4.000	54.240	22.858	152.844
5.000	54.408	22.788	153.422
6.000	54.575	22.718	154.022
7.000	54.742	22.649	154.667
8.000	54.910	22.580	153.600
9.000	55.077	22.511	154.667
10.000	55.245	22.443	154.533
11.000	55.412	22.375	155.578
12.000	55.579	22.308	153.556
13.000	55.747	22.241	155.644
14.000	55.914	22.174	155.600
15.000	56.082	22.108	155.422
16.000	56.249	22.042	157.089
17.000	56.417	21.977	156.400
18.000	56.584	21.912	155.756
19.000	56.751	21.847	157.889
20.000	56.919	21.783	159.289
21.000	57.086	21.719	157.356
22.000	57.254	21.655	159.200
23.000	57.421	21.592	160.289
24.000	57.588	21.529	160.600
25.000	57.756	21.467	162.467
26.000	57.923	21.405	161.467
27.000	58.091	21.343	161.311
28.000	58.258	21.282	162.133
29.000	58.426	21.221	162.022
30.000	58.593	21.160	160.467
31.000	58.760	21.100	158.489
32.000	58.928	21.040	156.578
33.000	59.095	20.980	154.356
34.000	59.263	20.921	153.200
35.000	59.430	20.862	150.222
36.000	59.597	20.804	147.867
37.000	59.765	20.745	143.311
38.000	59.932	20.687	137.067
39.000	60.100	20.630	129.956
40.000	60.267	20.572	124.178
41.000	60.434	20.515	119.489
42.000	60.602	20.459	119.311
43.000	60.769	20.402	119.378
44.000	60.937	20.346	118.844
45.000	61.104	20.291	118.267
46.000	61.272	20.235	118.467
47.000	61.439	20.180	119.111
48.000	61.606	20.125	118.089
49.000	61.774	20.071	118.089
50.000	61.941	20.016	118.044
51.000	62.109	19.962	116.822
52.000	62.276	19.909	116.489
53.000	62.443	19.855	118.556
54.000	62.611	19.802	118.467
55.000	62.778	19.750	118.933
56.000	62.946	19.697	118.978
57.000	63.113	19.645	119.400
58.000	63.281	19.593	119.778
59.000	63.448	19.541	123.644
60.000	63.615	19.490	125.222
61.000	63.783	19.439	130.622
62.000	63.950	19.388	137.600
63.000	64.118	19.337	139.222
64.000	64.285	19.287	141.911
65.000	64.452	19.237	139.844
66.000	64.620	19.187	135.622
67.000	64.787	19.137	129.644
68.000	64.955	19.088	126.422
69.000	65.122	19.039	125.133
70.000	65.290	18.990	124.556
71.000	65.457	18.941	125.422
72.000	65.624	18.893	125.711
73.000	65.792	18.845	129.022
74.000	65.959	18.797	133.711
