15-10-23spec_0009_0051.txt

Exposure (ms)	5000
Row number	Wavelength (nm)	Energy (eV)	Amplitude (a.u.)
0.000	53.570	23.144	166.156
1.000	53.738	23.072	169.756
2.000	53.905	23.000	166.956
3.000	54.073	22.929	166.444
4.000	54.240	22.858	167.578
5.000	54.408	22.788	167.822
6.000	54.575	22.718	168.689
7.000	54.742	22.649	166.867
8.000	54.910	22.580	167.911
9.000	55.077	22.511	168.044
10.000	55.245	22.443	167.644
11.000	55.412	22.375	167.711
12.000	55.579	22.308	168.511
13.000	55.747	22.241	170.644
14.000	55.914	22.174	169.244
15.000	56.082	22.108	168.133
16.000	56.249	22.042	170.622
17.000	56.417	21.977	168.044
18.000	56.584	21.912	170.267
19.000	56.751	21.847	170.667
20.000	56.919	21.783	170.178
21.000	57.086	21.719	170.267
22.000	57.254	21.655	169.511
23.000	57.421	21.592	171.378
24.000	57.588	21.529	171.133
25.000	57.756	21.467	172.178
26.000	57.923	21.405	171.733
27.000	58.091	21.343	173.044
28.000	58.258	21.282	172.400
29.000	58.426	21.221	169.244
30.000	58.593	21.160	169.200
31.000	58.760	21.100	167.978
32.000	58.928	21.040	165.933
33.000	59.095	20.980	166.044
34.000	59.263	20.921	163.311
35.000	59.430	20.862	161.822
36.000	59.597	20.804	158.133
37.000	59.765	20.745	152.733
38.000	59.932	20.687	144.156
39.000	60.100	20.630	138.911
40.000	60.267	20.572	131.667
41.000	60.434	20.515	126.556
42.000	60.602	20.459	125.956
43.000	60.769	20.402	126.489
44.000	60.937	20.346	125.133
45.000	61.104	20.291	125.311
46.000	61.272	20.235	124.489
47.000	61.439	20.180	124.689
48.000	61.606	20.125	124.600
49.000	61.774	20.071	124.111
50.000	61.941	20.016	123.600
51.000	62.109	19.962	124.956
52.000	62.276	19.909	122.200
53.000	62.443	19.855	123.178
54.000	62.611	19.802	122.556
55.000	62.778	19.750	123.422
56.000	62.946	19.697	123.067
57.000	63.113	19.645	123.378
58.000	63.281	19.593	123.911
59.000	63.448	19.541	123.756
60.000	63.615	19.490	124.267
61.000	63.783	19.439	123.156
62.000	63.950	19.388	125.422
63.000	64.118	19.337	124.311
64.000	64.285	19.287	124.022
65.000	64.452	19.237	123.289
66.000	64.620	19.187	124.067
67.000	64.787	19.137	125.200
68.000	64.955	19.088	125.511
69.000	65.122	19.039	124.467
70.000	65.290	18.990	126.378
71.000	65.457	18.941	127.756
72.000	65.624	18.893	127.422
73.000	65.792	18.845	125.644
74.000	65.959	18.797	126.911
75.000	66.127	18.750	125.622
76.000	66.294	18.702	126.111
77.000	66.461	18.655	126.844
78.000	66.629	18.608	125.800
79.000	66.796	18.562	128.022
80.000	66.964	18.515	127.489
81.000	67.131	18.469	128.289
82.000	67.299	18.423	130.489
83.000	67.466	18.377	132.978
84.000	67.633	18.332	136.089
85.000	67.801	18.287	133.756
86.000	67.968	18.242	130.000
87.000	68.136	18.197	129.733
88.000	68.303	18.152	130.533
89.000	68.470	18.108	129.733
90.000	68.638	18.064	129.933
91.000	68.805	18.020	128.933
92.000	68.973	17.976	128.311
93.000	69.140	17.932	130.311
94.000	69.307	17.889	131.267
95.000	69.475	17.846	130.156
96.000	69.642	17.803	130.356
97.000	69.810	17.760	131.311
98.000	69.977	17.718	131.156
99.000	70.145	17.676	132.000
100.000	70.312	17.633	131.578
101.000	70.479	17.592	130.889
102.000	70.647	17.550	132.311
103.000	70.814	17.508	132.689
104.000	70.982	17.467	133.067
105.000	71.149	17.426	132.844
106.000	71.316	17.385	132.378
107.000	71.484	17.344	133.956
108.000	71.651	17.304	136.244
109.000	71.819	17.263	138.289
110.000	71.986	17.223	141.422
111.000	72.154	17.183	143.511
112.000	72.321	17.144	142.267
113.000	72.488	17.104	138.800
114.000	72.656	17.065	139.511
115.000	72.823	17.025	138.644
116.000	72.991	16.986	137.911
117.000	73.158	16.947	138.089
118.000	73.325	16.909	138.956
119.000	73.493	16.870	140.289
120.000	73.660	16.832	139.978
121.000	73.828	16.794	143.178
122.000	73.995	16.756	142.978
123.000	74.163	16.718	146.311
124.000	74.330	16.680	150.444
125.000	74.497	16.643	158.556
126.000	74.665	16.605	169.644
127.000	74.832	16.568	174.267
128.000	75.000	16.531	172.867
129.000	75.167	16.494	164.622
130.000	75.334	16.458	161.689
131.000	75.502	16.421	165.867
132.000	75.669	16.385	173.733
133.000	75.837	16.349	176.711
134.000	76.004	16.313	176.422
135.000	76.171	16.277	174.422
136.000	76.339	16.241	171.067
137.000	76.506	16.206	177.333
138.000	76.674	16.170	196.556
139.000	76.841	16.135	221.244
140.000	77.009	16.100	240.444
141.000	77.176	16.065	250.467
142.000	77.343	16.030	255.133
143.000	77.511	15.996	257.489
144.000	77.678	15.961	264.489
145.000	77.846	15.927	290.289
146.000	78.013	15.893	334.844
147.000	78.180	15.859	383.067
148.000	78.348	15.825	433.444
149.000	78.515	15.791	460.733
150.000	78.683	15.757	473.600
151.000	78.850	15.724	461.044
152.000	79.018	15.691	458.756
153.000	79.185	15.658	467.356
154.000	79.352	15.625	475.156
155.000	79.520	15.592	484.467
156.000	79.687	15.559	489.511
157.000	79.855	15.526	481.356
158.000	80.022	15.494	470.156
159.000	80.189	15.461	474.956
160.000	80.357	15.429	494.867
161.000	80.524	15.397	518.733
162.000	80.692	15.365	527.622
163.000	80.859	15.333	507.578
164.000	81.027	15.302	472.311
165.000	81.194	15.270	440.689
166.000	81.361	15.239	417.822
167.000	81.529	15.207	409.311
168.000	81.696	15.176	418.200
169.000	81.864	15.145	465.667
170.000	82.031	15.114	539.978
171.000	82.198	15.084	639.444
172.000	82.366	15.053	723.600
173.000	82.533	15.022	759.533
174.000	82.701	14.992	770.711
175.000	82.868	14.962	767.467
176.000	83.036	14.931	758.733
177.000	83.203	14.901	761.467
178.000	83.370	14.871	763.644
