15-10-23spec_0009_0049.txt

Exposure (ms)	5000
Row number	Wavelength (nm)	Energy (eV)	Amplitude (a.u.)
0.000	53.570	23.144	183.778
1.000	53.738	23.072	185.400
2.000	53.905	23.000	186.089
3.000	54.073	22.929	185.444
4.000	54.240	22.858	184.044
5.000	54.408	22.788	184.689
6.000	54.575	22.718	184.511
7.000	54.742	22.649	184.978
8.000	54.910	22.580	185.222
9.000	55.077	22.511	185.333
10.000	55.245	22.443	185.644
11.000	55.412	22.375	184.356
12.000	55.579	22.308	185.822
13.000	55.747	22.241	186.022
14.000	55.914	22.174	186.889
15.000	56.082	22.108	185.956
16.000	56.249	22.042	186.756
17.000	56.417	21.977	187.489
18.000	56.584	21.912	187.244
19.000	56.751	21.847	186.356
20.000	56.919	21.783	187.511
21.000	57.086	21.719	187.089
22.000	57.254	21.655	188.044
23.000	57.421	21.592	187.667
24.000	57.588	21.529	188.289
25.000	57.756	21.467	189.133
26.000	57.923	21.405	189.156
27.000	58.091	21.343	190.867
28.000	58.258	21.282	187.844
29.000	58.426	21.221	189.244
30.000	58.593	21.160	187.733
31.000	58.760	21.100	186.222
32.000	58.928	21.040	184.200
33.000	59.095	20.980	182.111
34.000	59.263	20.921	179.822
35.000	59.430	20.862	179.533
36.000	59.597	20.804	173.067
37.000	59.765	20.745	167.867
38.000	59.932	20.687	159.467
39.000	60.100	20.630	150.578
40.000	60.267	20.572	143.733
41.000	60.434	20.515	138.244
42.000	60.602	20.459	136.156
43.000	60.769	20.402	136.711
44.000	60.937	20.346	136.133
45.000	61.104	20.291	136.311
46.000	61.272	20.235	137.200
47.000	61.439	20.180	137.244
48.000	61.606	20.125	136.400
49.000	61.774	20.071	135.556
50.000	61.941	20.016	135.111
51.000	62.109	19.962	134.289
52.000	62.276	19.909	135.111
53.000	62.443	19.855	137.556
54.000	62.611	19.802	141.156
55.000	62.778	19.750	144.289
56.000	62.946	19.697	148.289
57.000	63.113	19.645	145.711
58.000	63.281	19.593	140.756
59.000	63.448	19.541	138.733
60.000	63.615	19.490	136.333
61.000	63.783	19.439	136.822
62.000	63.950	19.388	135.756
63.000	64.118	19.337	135.667
64.000	64.285	19.287	137.222
65.000	64.452	19.237	134.911
66.000	64.620	19.187	136.378
67.000	64.787	19.137	137.622
68.000	64.955	19.088	137.644
69.000	65.122	19.039	136.178
70.000	65.290	18.990	136.956
71.000	65.457	18.941	137.711
72.000	65.624	18.893	138.556
73.000	65.792	18.845	138.667
74.000	65.959	18.797	137.956
75.000	66.127	18.750	139.289
76.000	66.294	18.702	139.578
77.000	66.461	18.655	140.733
78.000	66.629	18.608	141.956
79.000	66.796	18.562	141.489
80.000	66.964	18.515	144.711
81.000	67.131	18.469	147.800
82.000	67.299	18.423	153.689
83.000	67.466	18.377	160.511
84.000	67.633	18.332	162.778
85.000	67.801	18.287	161.000
86.000	67.968	18.242	152.689
87.000	68.136	18.197	147.867
88.000	68.303	18.152	145.067
89.000	68.470	18.108	147.022
90.000	68.638	18.064	147.978
91.000	68.805	18.020	146.533
92.000	68.973	17.976	150.622
93.000	69.140	17.932	155.378
94.000	69.307	17.889	159.733
95.000	69.475	17.846	161.644
96.000	69.642	17.803	161.133
97.000	69.810	17.760	159.022
98.000	69.977	17.718	153.244
99.000	70.145	17.676	150.200
100.000	70.312	17.633	147.689
101.000	70.479	17.592	147.111
102.000	70.647	17.550	146.956
103.000	70.814	17.508	146.933
104.000	70.982	17.467	148.667
105.000	71.149	17.426	152.733
106.000	71.316	17.385	153.133
107.000	71.484	17.344	149.911
108.000	71.651	17.304	148.267
109.000	71.819	17.263	146.844
110.000	71.986	17.223	149.200
111.000	72.154	17.183	149.756
112.000	72.321	17.144	150.756
113.000	72.488	17.104	150.356
114.000	72.656	17.065	150.222
115.000	72.823	17.025	151.022
116.000	72.991	16.986	151.178
117.000	73.158	16.947	151.111
118.000	73.325	16.909	153.467
119.000	73.493	16.870	154.111
120.000	73.660	16.832	153.200
121.000	73.828	16.794	155.978
122.000	73.995	16.756	156.667
123.000	74.163	16.718	158.156
124.000	74.330	16.680	159.089
125.000	74.497	16.643	162.800
126.000	74.665	16.605	166.400
127.000	74.832	16.568	168.800
128.000	75.000	16.531	174.044
129.000	75.167	16.494	184.844
130.000	75.334	16.458	201.289
131.000	75.502	16.421	225.067
132.000	75.669	16.385	250.267
133.000	75.837	16.349	266.689
134.000	76.004	16.313	280.533
135.000	76.171	16.277	284.822
136.000	76.339	16.241	295.489
137.000	76.506	16.206	308.556
138.000	76.674	16.170	317.533
139.000	76.841	16.135	321.978
140.000	77.009	16.100	327.044
141.000	77.176	16.065	329.311
142.000	77.343	16.030	342.622
143.000	77.511	15.996	379.556
144.000	77.678	15.961	411.622
145.000	77.846	15.927	420.756
146.000	78.013	15.893	425.667
147.000	78.180	15.859	443.022
148.000	78.348	15.825	472.911
149.000	78.515	15.791	494.400
150.000	78.683	15.757	514.533
151.000	78.850	15.724	530.200
152.000	79.018	15.691	572.644
153.000	79.185	15.658	612.000
154.000	79.352	15.625	619.244
155.000	79.520	15.592	604.089
156.000	79.687	15.559	567.467
157.000	79.855	15.526	537.733
