15-10-23spec_0009_0068.txt

Exposure (ms)	5000
Row number	Wavelength (nm)	Energy (eV)	Amplitude (a.u.)
0.000	53.570	23.144	159.244
1.000	53.738	23.072	160.400
2.000	53.905	23.000	159.244
3.000	54.073	22.929	160.689
4.000	54.240	22.858	159.044
5.000	54.408	22.788	160.333
6.000	54.575	22.718	160.133
7.000	54.742	22.649	159.200
8.000	54.910	22.580	160.378
9.000	55.077	22.511	161.444
10.000	55.245	22.443	162.289
11.000	55.412	22.375	161.667
12.000	55.579	22.308	161.289
13.000	55.747	22.241	161.800
14.000	55.914	22.174	163.178
15.000	56.082	22.108	164.133
16.000	56.249	22.042	163.422
17.000	56.417	21.977	164.022
18.000	56.584	21.912	164.178
19.000	56.751	21.847	164.600
20.000	56.919	21.783	164.267
21.000	57.086	21.719	165.044
22.000	57.254	21.655	165.267
23.000	57.421	21.592	166.356
24.000	57.588	21.529	168.089
25.000	57.756	21.467	167.511
26.000	57.923	21.405	165.978
27.000	58.091	21.343	167.133
28.000	58.258	21.282	166.511
29.000	58.426	21.221	165.778
30.000	58.593	21.160	165.444
31.000	58.760	21.100	163.733
32.000	58.928	21.040	161.000
33.000	59.095	20.980	159.622
34.000	59.263	20.921	158.022
35.000	59.430	20.862	155.333
36.000	59.597	20.804	151.867
37.000	59.765	20.745	147.444
38.000	59.932	20.687	140.311
39.000	60.100	20.630	133.800
40.000	60.267	20.572	128.378
41.000	60.434	20.515	123.889
42.000	60.602	20.459	122.156
43.000	60.769	20.402	120.867
44.000	60.937	20.346	121.822
45.000	61.104	20.291	122.244
46.000	61.272	20.235	122.244
47.000	61.439	20.180	120.356
48.000	61.606	20.125	122.778
49.000	61.774	20.071	122.022
50.000	61.941	20.016	120.200
51.000	62.109	19.962	119.800
52.000	62.276	19.909	119.778
53.000	62.443	19.855	120.422
54.000	62.611	19.802	121.111
55.000	62.778	19.750	123.133
56.000	62.946	19.697	123.822
57.000	63.113	19.645	122.778
58.000	63.281	19.593	122.933
59.000	63.448	19.541	122.778
60.000	63.615	19.490	122.622
61.000	63.783	19.439	122.000
62.000	63.950	19.388	121.467
63.000	64.118	19.337	123.311
64.000	64.285	19.287	122.311
65.000	64.452	19.237	121.422
66.000	64.620	19.187	122.578
67.000	64.787	19.137	122.200
68.000	64.955	19.088	123.533
69.000	65.122	19.039	123.022
70.000	65.290	18.990	124.067
71.000	65.457	18.941	123.067
72.000	65.624	18.893	125.222
73.000	65.792	18.845	124.067
74.000	65.959	18.797	126.222
75.000	66.127	18.750	126.911
76.000	66.294	18.702	130.178
77.000	66.461	18.655	130.644
78.000	66.629	18.608	128.533
79.000	66.796	18.562	128.022
80.000	66.964	18.515	126.756
81.000	67.131	18.469	127.378
82.000	67.299	18.423	127.200
83.000	67.466	18.377	127.667
84.000	67.633	18.332	127.511
85.000	67.801	18.287	128.444
86.000	67.968	18.242	128.044
87.000	68.136	18.197	129.400
88.000	68.303	18.152	130.178
89.000	68.470	18.108	131.156
90.000	68.638	18.064	132.578
91.000	68.805	18.020	132.089
92.000	68.973	17.976	133.378
93.000	69.140	17.932	134.689
94.000	69.307	17.889	135.222
95.000	69.475	17.846	135.378
96.000	69.642	17.803	136.711
97.000	69.810	17.760	137.600
98.000	69.977	17.718	140.156
99.000	70.145	17.676	139.933
100.000	70.312	17.633	144.756
101.000	70.479	17.592	142.844
102.000	70.647	17.550	143.178
103.000	70.814	17.508	145.378
104.000	70.982	17.467	147.267
105.000	71.149	17.426	150.267
106.000	71.316	17.385	152.356
107.000	71.484	17.344	157.578
108.000	71.651	17.304	162.844
109.000	71.819	17.263	173.222
110.000	71.986	17.223	178.467
111.000	72.154	17.183	180.956
112.000	72.321	17.144	180.244
113.000	72.488	17.104	188.111
114.000	72.656	17.065	202.956
115.000	72.823	17.025	227.400
116.000	72.991	16.986	260.156
117.000	73.158	16.947	289.089
118.000	73.325	16.909	296.822
119.000	73.493	16.870	299.400
120.000	73.660	16.832	299.889
121.000	73.828	16.794	299.267
122.000	73.995	16.756	310.356
123.000	74.163	16.718	331.222
124.000	74.330	16.680	363.933
125.000	74.497	16.643	411.578
126.000	74.665	16.605	454.178
127.000	74.832	16.568	490.022
128.000	75.000	16.531	511.422
129.000	75.167	16.494	534.644
130.000	75.334	16.458	551.067
131.000	75.502	16.421	565.600
132.000	75.669	16.385	587.222
133.000	75.837	16.349	631.400
134.000	76.004	16.313	686.800
135.000	76.171	16.277	724.578
136.000	76.339	16.241	784.222
137.000	76.506	16.206	846.644
138.000	76.674	16.170	903.622
139.000	76.841	16.135	906.711
140.000	77.009	16.100	901.244
141.000	77.176	16.065	896.422
142.000	77.343	16.030	898.844
143.000	77.511	15.996	927.511
144.000	77.678	15.961	972.333
145.000	77.846	15.927	1029.178
146.000	78.013	15.893	1066.356
147.000	78.180	15.859	1065.978
148.000	78.348	15.825	1048.711
149.000	78.515	15.791	1038.956
150.000	78.683	15.757	1060.200
151.000	78.850	15.724	1075.333
152.000	79.018	15.691	1041.511
153.000	79.185	15.658	1014.911
154.000	79.352	15.625	1018.511
155.000	79.520	15.592	1038.311
156.000	79.687	15.559	1005.133
157.000	79.855	15.526	907.044
158.000	80.022	15.494	825.711
159.000	80.189	15.461	791.800
160.000	80.357	15.429	766.178
161.000	80.524	15.397	718.289
162.000	80.692	15.365	641.133
163.000	80.859	15.333	592.000
164.000	81.027	15.302	561.400
165.000	81.194	15.270	562.800
166.000	81.361	15.239	573.889
167.000	81.529	15.207	580.667
168.000	81.696	15.176	588.756
169.000	81.864	15.145	600.222
170.000	82.031	15.114	616.444
171.000	82.198	15.084	640.044
172.000	82.366	15.053	681.733
173.000	82.533	15.022	746.400
174.000	82.701	14.992	829.844
175.000	82.868	14.962	892.733
176.000	83.036	14.931	922.356
177.000	83.203	14.901	927.956
178.000	83.370	14.871	936.733
179.000	83.538	14.842	943.089
180.000	83.705	14.812	924.489
181.000	83.873	14.782	882.178
182.000	84.040	14.753	816.844
183.000	84.207	14.724	726.200
184.000	84.375	14.694	621.533
185.000	84.542	14.665	545.578
186.000	84.710	14.636	546.822
187.000	84.877	14.608	612.978
188.000	85.044	14.579	719.756
189.000	85.212	14.550	841.933
190.000	85.379	14.522	932.711
191.000	85.547	14.493	978.267
192.000	85.714	14.465	999.733
193.000	85.882	14.437	1013.467
194.000	86.049	14.409	1009.289
195.000	86.216	14.381	996.933
196.000	86.384	14.353	987.111
197.000	86.551	14.325	955.711
198.000	86.719	14.297	925.911
199.000	86.886	14.270	871.333
200.000	87.053	14.242	789.533
201.000	87.221	14.215	685.133
202.000	87.388	14.188	574.244
203.000	87.556	14.161	492.356
204.000	87.723	14.134	476.356
205.000	87.891	14.107	506.600
206.000	88.058	14.080	550.133
207.000	88.225	14.053	625.978
208.000	88.393	14.027	712.933
209.000	88.560	14.000	779.356
210.000	88.728	13.974	791.667
211.000	88.895	13.947	762.156
212.000	89.062	13.921	738.356
213.000	89.230	13.895	747.000
214.000	89.397	13.869	790.067
215.000	89.565	13.843	823.622
216.000	89.732	13.817	835.644
217.000	89.900	13.791	857.889
218.000	90.067	13.766	872.600
219.000	90.234	13.740	853.889
220.000	90.402	13.715	808.733
221.000	90.569	13.689	781.667
222.000	90.737	13.664	793.333
223.000	90.904	13.639	831.178
224.000	91.071	13.614	850.356
225.000	91.239	13.589	868.289
226.000	91.406	13.564	857.511
227.000	91.574	13.539	830.400
228.000	91.741	13.515	831.200
229.000	91.908	13.490	835.089
230.000	92.076	13.465	838.444
231.000	92.243	13.441	844.533
232.000	92.411	13.417	850.089
233.000	92.578	13.392	879.289
234.000	92.746	13.368	906.222
235.000	92.913	13.344	889.978
236.000	93.080	13.320	870.711
237.000	93.248	13.296	864.778
238.000	93.415	13.272	843.844
239.000	93.583	13.249	804.022
240.000	93.750	13.225	763.422
241.000	93.917	13.201	736.089
242.000	94.085	13.178	754.267
243.000	94.252	13.154	751.667
244.000	94.420	13.131	723.044
245.000	94.587	13.108	712.822
246.000	94.755	13.085	686.444
247.000	94.922	13.062	667.489
248.000	95.089	13.039	680.978
249.000	95.257	13.016	692.133
250.000	95.424	12.993	680.422
251.000	95.592	12.970	658.133
252.000	95.759	12.948	624.222
253.000	95.926	12.925	588.889
254.000	96.094	12.902	577.311
255.000	96.261	12.880	537.844
256.000	96.429	12.858	475.267
257.000	96.596	12.835	442.333
258.000	96.764	12.813	446.956
259.000	96.931	12.791	448.400
260.000	97.098	12.769	468.956
261.000	97.266	12.747	502.111
262.000	97.433	12.725	500.822
263.000	97.601	12.703	502.267
264.000	97.768	12.681	508.889
265.000	97.935	12.660	483.511
266.000	98.103	12.638	461.556
267.000	98.270	12.617	453.578
268.000	98.438	12.595	438.978
269.000	98.605	12.574	417.289
270.000	98.773	12.553	432.556
271.000	98.940	12.531	458.911
