15-10-23spec_0009_0086.txt

Exposure (ms)	5000
Row number	Wavelength (nm)	Energy (eV)	Amplitude (a.u.)
0.000	53.570	23.144	162.711
1.000	53.738	23.072	164.356
2.000	53.905	23.000	162.578
3.000	54.073	22.929	163.156
4.000	54.240	22.858	164.244
5.000	54.408	22.788	163.089
6.000	54.575	22.718	162.667
7.000	54.742	22.649	165.289
8.000	54.910	22.580	162.511
9.000	55.077	22.511	165.889
10.000	55.245	22.443	166.533
11.000	55.412	22.375	164.867
12.000	55.579	22.308	166.178
13.000	55.747	22.241	164.156
14.000	55.914	22.174	165.622
15.000	56.082	22.108	165.689
16.000	56.249	22.042	165.889
17.000	56.417	21.977	165.556
18.000	56.584	21.912	167.467
19.000	56.751	21.847	167.578
20.000	56.919	21.783	166.800
21.000	57.086	21.719	166.267
22.000	57.254	21.655	167.200
23.000	57.421	21.592	167.689
24.000	57.588	21.529	170.489
25.000	57.756	21.467	169.511
26.000	57.923	21.405	168.844
27.000	58.091	21.343	169.711
28.000	58.258	21.282	168.422
29.000	58.426	21.221	167.444
30.000	58.593	21.160	166.867
31.000	58.760	21.100	164.978
32.000	58.928	21.040	164.422
33.000	59.095	20.980	163.933
34.000	59.263	20.921	160.733
35.000	59.430	20.862	158.778
36.000	59.597	20.804	153.867
37.000	59.765	20.745	148.022
38.000	59.932	20.687	143.022
39.000	60.100	20.630	136.444
40.000	60.267	20.572	129.000
41.000	60.434	20.515	124.867
42.000	60.602	20.459	123.111
43.000	60.769	20.402	123.244
44.000	60.937	20.346	123.578
45.000	61.104	20.291	124.000
46.000	61.272	20.235	124.222
47.000	61.439	20.180	122.822
48.000	61.606	20.125	123.067
49.000	61.774	20.071	123.378
50.000	61.941	20.016	121.422
51.000	62.109	19.962	122.200
52.000	62.276	19.909	120.956
53.000	62.443	19.855	120.467
54.000	62.611	19.802	120.956
55.000	62.778	19.750	122.178
56.000	62.946	19.697	121.533
57.000	63.113	19.645	121.644
58.000	63.281	19.593	122.111
59.000	63.448	19.541	123.556
60.000	63.615	19.490	123.156
61.000	63.783	19.439	123.000
62.000	63.950	19.388	122.133
63.000	64.118	19.337	122.800
64.000	64.285	19.287	122.933
65.000	64.452	19.237	123.889
66.000	64.620	19.187	122.289
67.000	64.787	19.137	125.067
68.000	64.955	19.088	123.733
69.000	65.122	19.039	123.111
70.000	65.290	18.990	124.622
71.000	65.457	18.941	124.200
72.000	65.624	18.893	124.733
73.000	65.792	18.845	123.311
74.000	65.959	18.797	125.200
75.000	66.127	18.750	124.978
76.000	66.294	18.702	123.844
77.000	66.461	18.655	126.089
78.000	66.629	18.608	125.356
79.000	66.796	18.562	125.489
80.000	66.964	18.515	125.978
81.000	67.131	18.469	126.956
82.000	67.299	18.423	125.578
83.000	67.466	18.377	125.778
84.000	67.633	18.332	126.956
85.000	67.801	18.287	128.022
86.000	67.968	18.242	127.111
87.000	68.136	18.197	127.111
88.000	68.303	18.152	128.333
89.000	68.470	18.108	129.356
90.000	68.638	18.064	131.511
91.000	68.805	18.020	131.178
92.000	68.973	17.976	130.889
93.000	69.140	17.932	131.711
94.000	69.307	17.889	132.289
95.000	69.475	17.846	134.289
96.000	69.642	17.803	134.156
97.000	69.810	17.760	136.000
98.000	69.977	17.718	138.267
99.000	70.145	17.676	138.978
100.000	70.312	17.633	142.044
101.000	70.479	17.592	148.222
102.000	70.647	17.550	149.200
103.000	70.814	17.508	152.222
104.000	70.982	17.467	156.178
105.000	71.149	17.426	153.978
106.000	71.316	17.385	149.244
107.000	71.484	17.344	147.622
108.000	71.651	17.304	144.422
109.000	71.819	17.263	146.733
110.000	71.986	17.223	144.933
111.000	72.154	17.183	146.289
112.000	72.321	17.144	149.333
113.000	72.488	17.104	151.867
114.000	72.656	17.065	155.556
115.000	72.823	17.025	153.578
116.000	72.991	16.986	152.622
117.000	73.158	16.947	154.889
118.000	73.325	16.909	156.956
119.000	73.493	16.870	164.644
120.000	73.660	16.832	176.622
121.000	73.828	16.794	181.689
122.000	73.995	16.756	183.200
123.000	74.163	16.718	182.200
124.000	74.330	16.680	193.133
125.000	74.497	16.643	200.022
126.000	74.665	16.605	218.689
127.000	74.832	16.568	235.400
128.000	75.000	16.531	257.244
129.000	75.167	16.494	293.822
130.000	75.334	16.458	350.756
131.000	75.502	16.421	413.733
132.000	75.669	16.385	474.933
133.000	75.837	16.349	557.822
134.000	76.004	16.313	631.911
135.000	76.171	16.277	652.933
136.000	76.339	16.241	636.889
137.000	76.506	16.206	632.067
138.000	76.674	16.170	659.044
139.000	76.841	16.135	686.022
140.000	77.009	16.100	730.556
141.000	77.176	16.065	773.978
142.000	77.343	16.030	834.400
143.000	77.511	15.996	900.511
144.000	77.678	15.961	952.756
145.000	77.846	15.927	990.400
146.000	78.013	15.893	988.511
147.000	78.180	15.859	953.000
148.000	78.348	15.825	902.022
149.000	78.515	15.791	836.378
150.000	78.683	15.757	804.133
151.000	78.850	15.724	804.867
152.000	79.018	15.691	797.222
153.000	79.185	15.658	776.489
154.000	79.352	15.625	793.422
155.000	79.520	15.592	835.067
156.000	79.687	15.559	865.867
157.000	79.855	15.526	859.956
158.000	80.022	15.494	871.778
159.000	80.189	15.461	854.889
160.000	80.357	15.429	807.178
161.000	80.524	15.397	720.356
162.000	80.692	15.365	611.022
163.000	80.859	15.333	525.356
164.000	81.027	15.302	467.111
165.000	81.194	15.270	426.356
166.000	81.361	15.239	413.533
167.000	81.529	15.207	407.356
168.000	81.696	15.176	398.556
169.000	81.864	15.145	409.422
170.000	82.031	15.114	440.178
171.000	82.198	15.084	476.822
172.000	82.366	15.053	501.733
173.000	82.533	15.022	559.311
174.000	82.701	14.992	635.333
175.000	82.868	14.962	701.200
176.000	83.036	14.931	726.089
177.000	83.203	14.901	722.800
178.000	83.370	14.871	727.156
179.000	83.538	14.842	721.267
180.000	83.705	14.812	747.378
181.000	83.873	14.782	774.822
182.000	84.040	14.753	766.378
183.000	84.207	14.724	682.267
184.000	84.375	14.694	576.867
185.000	84.542	14.665	498.733
186.000	84.710	14.636	495.889
187.000	84.877	14.608	558.311
188.000	85.044	14.579	661.822
189.000	85.212	14.550	753.800
190.000	85.379	14.522	814.911
191.000	85.547	14.493	824.444
192.000	85.714	14.465	763.644
