15-10-23spec_0009_0192.txt

Exposure (ms)	5000
Row number	Wavelength (nm)	Energy (eV)	Amplitude (a.u.)
0.000	53.570	23.144	140.667
1.000	53.738	23.072	142.267
2.000	53.905	23.000	140.289
3.000	54.073	22.929	141.756
4.000	54.240	22.858	141.111
5.000	54.408	22.788	141.178
6.000	54.575	22.718	141.822
7.000	54.742	22.649	141.533
8.000	54.910	22.580	141.644
9.000	55.077	22.511	142.311
10.000	55.245	22.443	143.289
11.000	55.412	22.375	141.067
12.000	55.579	22.308	143.311
13.000	55.747	22.241	144.067
14.000	55.914	22.174	143.356
15.000	56.082	22.108	142.622
16.000	56.249	22.042	143.800
17.000	56.417	21.977	144.111
18.000	56.584	21.912	144.778
19.000	56.751	21.847	142.978
20.000	56.919	21.783	144.000
21.000	57.086	21.719	145.133
22.000	57.254	21.655	144.133
23.000	57.421	21.592	146.889
24.000	57.588	21.529	146.200
25.000	57.756	21.467	145.733
26.000	57.923	21.405	145.689
27.000	58.091	21.343	145.689
28.000	58.258	21.282	146.267
29.000	58.426	21.221	144.689
30.000	58.593	21.160	144.467
31.000	58.760	21.100	142.600
32.000	58.928	21.040	141.222
33.000	59.095	20.980	140.444
34.000	59.263	20.921	138.156
35.000	59.430	20.862	136.711
36.000	59.597	20.804	133.311
37.000	59.765	20.745	130.356
38.000	59.932	20.687	123.556
39.000	60.100	20.630	118.467
40.000	60.267	20.572	113.200
41.000	60.434	20.515	110.289
42.000	60.602	20.459	108.311
43.000	60.769	20.402	109.622
44.000	60.937	20.346	107.156
45.000	61.104	20.291	108.422
46.000	61.272	20.235	108.178
47.000	61.439	20.180	108.489
48.000	61.606	20.125	107.267
49.000	61.774	20.071	107.067
50.000	61.941	20.016	108.044
51.000	62.109	19.962	106.289
52.000	62.276	19.909	106.822
53.000	62.443	19.855	106.622
54.000	62.611	19.802	105.444
55.000	62.778	19.750	107.400
56.000	62.946	19.697	108.156
57.000	63.113	19.645	107.244
58.000	63.281	19.593	107.933
59.000	63.448	19.541	106.533
60.000	63.615	19.490	107.533
61.000	63.783	19.439	108.400
62.000	63.950	19.388	108.400
63.000	64.118	19.337	108.267
64.000	64.285	19.287	108.733
65.000	64.452	19.237	107.311
66.000	64.620	19.187	108.622
67.000	64.787	19.137	108.600
68.000	64.955	19.088	109.644
69.000	65.122	19.039	110.067
70.000	65.290	18.990	111.978
71.000	65.457	18.941	113.889
72.000	65.624	18.893	113.311
73.000	65.792	18.845	110.889
74.000	65.959	18.797	111.311
75.000	66.127	18.750	109.622
76.000	66.294	18.702	110.111
77.000	66.461	18.655	110.067
78.000	66.629	18.608	110.778
79.000	66.796	18.562	110.022
80.000	66.964	18.515	111.067
81.000	67.131	18.469	111.222
82.000	67.299	18.423	111.600
83.000	67.466	18.377	112.311
84.000	67.633	18.332	113.578
85.000	67.801	18.287	114.467
86.000	67.968	18.242	117.422
87.000	68.136	18.197	123.556
88.000	68.303	18.152	130.156
89.000	68.470	18.108	135.378
90.000	68.638	18.064	136.400
91.000	68.805	18.020	133.822
92.000	68.973	17.976	126.400
93.000	69.140	17.932	120.244
94.000	69.307	17.889	117.889
95.000	69.475	17.846	116.756
96.000	69.642	17.803	115.733
97.000	69.810	17.760	114.978
98.000	69.977	17.718	115.022
99.000	70.145	17.676	116.067
100.000	70.312	17.633	115.156
101.000	70.479	17.592	116.533
102.000	70.647	17.550	115.467
103.000	70.814	17.508	116.356
104.000	70.982	17.467	115.889
105.000	71.149	17.426	116.378
106.000	71.316	17.385	117.489
107.000	71.484	17.344	117.778
108.000	71.651	17.304	117.378
109.000	71.819	17.263	118.667
110.000	71.986	17.223	119.089
111.000	72.154	17.183	119.756
112.000	72.321	17.144	121.311
113.000	72.488	17.104	120.822
114.000	72.656	17.065	120.400
115.000	72.823	17.025	121.978
116.000	72.991	16.986	123.733
117.000	73.158	16.947	125.933
118.000	73.325	16.909	126.133
119.000	73.493	16.870	130.800
120.000	73.660	16.832	136.000
121.000	73.828	16.794	140.711
122.000	73.995	16.756	143.133
123.000	74.163	16.718	143.733
124.000	74.330	16.680	143.200
125.000	74.497	16.643	142.222
126.000	74.665	16.605	137.911
127.000	74.832	16.568	137.800
128.000	75.000	16.531	139.022
129.000	75.167	16.494	143.889
130.000	75.334	16.458	153.667
131.000	75.502	16.421	163.356
132.000	75.669	16.385	179.778
133.000	75.837	16.349	198.400
134.000	76.004	16.313	210.467
135.000	76.171	16.277	219.333
136.000	76.339	16.241	223.933
137.000	76.506	16.206	230.489
138.000	76.674	16.170	244.600
139.000	76.841	16.135	254.778
140.000	77.009	16.100	263.089
141.000	77.176	16.065	263.689
142.000	77.343	16.030	267.311
143.000	77.511	15.996	292.489
144.000	77.678	15.961	344.911
145.000	77.846	15.927	412.822
146.000	78.013	15.893	453.044
147.000	78.180	15.859	468.911
148.000	78.348	15.825	460.444
149.000	78.515	15.791	448.178
150.000	78.683	15.757	441.911
151.000	78.850	15.724	442.400
152.000	79.018	15.691	458.222
153.000	79.185	15.658	478.356
154.000	79.352	15.625	494.044
155.000	79.520	15.592	518.311
156.000	79.687	15.559	570.378
157.000	79.855	15.526	632.200
158.000	80.022	15.494	686.356
159.000	80.189	15.461	721.489
160.000	80.357	15.429	716.600
161.000	80.524	15.397	660.000
162.000	80.692	15.365	613.311
163.000	80.859	15.333	551.111
164.000	81.027	15.302	483.000
165.000	81.194	15.270	414.933
166.000	81.361	15.239	381.222
167.000	81.529	15.207	379.022
168.000	81.696	15.176	395.533
169.000	81.864	15.145	440.956
170.000	82.031	15.114	513.178
171.000	82.198	15.084	581.711
172.000	82.366	15.053	657.333
173.000	82.533	15.022	747.667
174.000	82.701	14.992	838.022
175.000	82.868	14.962	899.200
176.000	83.036	14.931	907.911
177.000	83.203	14.901	887.489
