15-10-23spec_0009_0044.txt

Exposure (ms)	5000
Row number	Wavelength (nm)	Energy (eV)	Amplitude (a.u.)
0.000	53.570	23.144	189.933
1.000	53.738	23.072	191.956
2.000	53.905	23.000	191.044
3.000	54.073	22.929	190.578
4.000	54.240	22.858	191.067
5.000	54.408	22.788	191.978
6.000	54.575	22.718	191.089
7.000	54.742	22.649	192.244
8.000	54.910	22.580	191.978
9.000	55.077	22.511	191.467
10.000	55.245	22.443	192.000
11.000	55.412	22.375	192.111
12.000	55.579	22.308	192.511
13.000	55.747	22.241	191.822
14.000	55.914	22.174	191.667
15.000	56.082	22.108	191.644
16.000	56.249	22.042	192.689
17.000	56.417	21.977	193.311
18.000	56.584	21.912	192.978
19.000	56.751	21.847	193.578
20.000	56.919	21.783	192.111
21.000	57.086	21.719	194.000
22.000	57.254	21.655	193.311
23.000	57.421	21.592	194.089
24.000	57.588	21.529	195.111
25.000	57.756	21.467	195.489
26.000	57.923	21.405	194.222
27.000	58.091	21.343	195.400
28.000	58.258	21.282	195.311
29.000	58.426	21.221	193.578
30.000	58.593	21.160	193.556
31.000	58.760	21.100	190.844
32.000	58.928	21.040	191.311
33.000	59.095	20.980	189.644
34.000	59.263	20.921	187.044
35.000	59.430	20.862	182.244
36.000	59.597	20.804	177.311
37.000	59.765	20.745	172.333
38.000	59.932	20.687	164.311
39.000	60.100	20.630	154.600
40.000	60.267	20.572	147.711
41.000	60.434	20.515	142.044
42.000	60.602	20.459	140.178
43.000	60.769	20.402	140.044
44.000	60.937	20.346	139.756
45.000	61.104	20.291	140.133
46.000	61.272	20.235	141.467
47.000	61.439	20.180	140.711
48.000	61.606	20.125	138.044
49.000	61.774	20.071	140.111
50.000	61.941	20.016	138.800
51.000	62.109	19.962	139.089
52.000	62.276	19.909	137.267
53.000	62.443	19.855	138.089
54.000	62.611	19.802	137.733
55.000	62.778	19.750	139.511
56.000	62.946	19.697	139.178
57.000	63.113	19.645	140.289
58.000	63.281	19.593	141.889
59.000	63.448	19.541	141.667
60.000	63.615	19.490	141.222
61.000	63.783	19.439	143.156
62.000	63.950	19.388	146.444
63.000	64.118	19.337	150.556
64.000	64.285	19.287	154.600
65.000	64.452	19.237	158.156
66.000	64.620	19.187	157.578
67.000	64.787	19.137	152.311
68.000	64.955	19.088	146.222
69.000	65.122	19.039	144.511
70.000	65.290	18.990	144.689
71.000	65.457	18.941	146.756
72.000	65.624	18.893	150.578
73.000	65.792	18.845	153.356
74.000	65.959	18.797	154.400
75.000	66.127	18.750	152.556
76.000	66.294	18.702	147.444
77.000	66.461	18.655	144.133
78.000	66.629	18.608	143.378
79.000	66.796	18.562	144.333
80.000	66.964	18.515	142.289
81.000	67.131	18.469	142.800
82.000	67.299	18.423	142.378
83.000	67.466	18.377	143.089
84.000	67.633	18.332	142.622
85.000	67.801	18.287	143.622
86.000	67.968	18.242	143.156
87.000	68.136	18.197	144.044
88.000	68.303	18.152	143.422
89.000	68.470	18.108	144.289
90.000	68.638	18.064	145.244
91.000	68.805	18.020	145.022
92.000	68.973	17.976	145.467
93.000	69.140	17.932	145.667
94.000	69.307	17.889	145.756
95.000	69.475	17.846	146.822
96.000	69.642	17.803	145.400
97.000	69.810	17.760	147.311
98.000	69.977	17.718	147.733
99.000	70.145	17.676	149.178
100.000	70.312	17.633	147.489
101.000	70.479	17.592	149.356
102.000	70.647	17.550	149.000
103.000	70.814	17.508	149.533
104.000	70.982	17.467	150.378
105.000	71.149	17.426	150.089
106.000	71.316	17.385	149.889
107.000	71.484	17.344	150.133
108.000	71.651	17.304	150.533
109.000	71.819	17.263	152.000
110.000	71.986	17.223	152.733
111.000	72.154	17.183	152.222
112.000	72.321	17.144	154.133
113.000	72.488	17.104	154.111
114.000	72.656	17.065	155.289
115.000	72.823	17.025	157.156
116.000	72.991	16.986	158.778
117.000	73.158	16.947	156.000
118.000	73.325	16.909	157.889
119.000	73.493	16.870	158.844
120.000	73.660	16.832	158.778
121.000	73.828	16.794	158.956
122.000	73.995	16.756	162.289
123.000	74.163	16.718	162.778
