15-10-23spec_0009_0035.txt

Exposure (ms)	5000
Row number	Wavelength (nm)	Energy (eV)	Amplitude (a.u.)
0.000	53.570	23.144	204.067
1.000	53.738	23.072	203.422
2.000	53.905	23.000	202.867
3.000	54.073	22.929	202.467
4.000	54.240	22.858	203.711
5.000	54.408	22.788	203.644
6.000	54.575	22.718	203.489
7.000	54.742	22.649	204.578
8.000	54.910	22.580	203.044
9.000	55.077	22.511	204.889
10.000	55.245	22.443	205.244
11.000	55.412	22.375	204.022
12.000	55.579	22.308	202.756
13.000	55.747	22.241	204.444
14.000	55.914	22.174	205.356
15.000	56.082	22.108	204.822
16.000	56.249	22.042	205.022
17.000	56.417	21.977	206.311
18.000	56.584	21.912	205.911
19.000	56.751	21.847	205.511
20.000	56.919	21.783	205.711
21.000	57.086	21.719	206.289
22.000	57.254	21.655	206.222
23.000	57.421	21.592	207.156
24.000	57.588	21.529	208.578
25.000	57.756	21.467	205.822
26.000	57.923	21.405	209.178
27.000	58.091	21.343	207.822
28.000	58.258	21.282	207.400
29.000	58.426	21.221	208.089
30.000	58.593	21.160	206.822
31.000	58.760	21.100	204.956
32.000	58.928	21.040	203.467
33.000	59.095	20.980	199.822
34.000	59.263	20.921	198.511
35.000	59.430	20.862	194.178
36.000	59.597	20.804	190.711
37.000	59.765	20.745	184.333
38.000	59.932	20.687	175.956
39.000	60.100	20.630	164.911
40.000	60.267	20.572	156.044
41.000	60.434	20.515	152.111
42.000	60.602	20.459	149.844
43.000	60.769	20.402	148.178
44.000	60.937	20.346	147.244
45.000	61.104	20.291	149.000
46.000	61.272	20.235	148.889
47.000	61.439	20.180	148.111
48.000	61.606	20.125	147.844
49.000	61.774	20.071	148.578
50.000	61.941	20.016	148.422
51.000	62.109	19.962	151.267
52.000	62.276	19.909	152.400
53.000	62.443	19.855	156.667
54.000	62.611	19.802	162.622
55.000	62.778	19.750	169.156
56.000	62.946	19.697	174.756
57.000	63.113	19.645	175.067
58.000	63.281	19.593	177.178
59.000	63.448	19.541	177.356
60.000	63.615	19.490	177.667
61.000	63.783	19.439	175.711
62.000	63.950	19.388	168.978
63.000	64.118	19.337	160.044
64.000	64.285	19.287	154.267
65.000	64.452	19.237	150.600
66.000	64.620	19.187	150.578
67.000	64.787	19.137	151.378
68.000	64.955	19.088	150.267
69.000	65.122	19.039	149.889
70.000	65.290	18.990	149.556
71.000	65.457	18.941	150.622
72.000	65.624	18.893	150.089
73.000	65.792	18.845	149.622
74.000	65.959	18.797	148.244
75.000	66.127	18.750	149.489
76.000	66.294	18.702	151.178
77.000	66.461	18.655	149.778
78.000	66.629	18.608	151.111
79.000	66.796	18.562	151.022
80.000	66.964	18.515	150.467
81.000	67.131	18.469	151.311
82.000	67.299	18.423	151.333
83.000	67.466	18.377	150.556
84.000	67.633	18.332	151.933
85.000	67.801	18.287	153.067
86.000	67.968	18.242	152.111
87.000	68.136	18.197	154.044
88.000	68.303	18.152	155.067
89.000	68.470	18.108	157.978
90.000	68.638	18.064	161.044
91.000	68.805	18.020	164.600
92.000	68.973	17.976	164.844
93.000	69.140	17.932	161.222
94.000	69.307	17.889	158.533
95.000	69.475	17.846	158.156
96.000	69.642	17.803	157.133
97.000	69.810	17.760	157.978
98.000	69.977	17.718	159.889
99.000	70.145	17.676	160.067
100.000	70.312	17.633	159.889
101.000	70.479	17.592	161.267
102.000	70.647	17.550	165.444
103.000	70.814	17.508	168.889
104.000	70.982	17.467	174.089
105.000	71.149	17.426	175.756
106.000	71.316	17.385	171.956
107.000	71.484	17.344	166.978
108.000	71.651	17.304	167.089
109.000	71.819	17.263	167.267
110.000	71.986	17.223	167.044
111.000	72.154	17.183	166.978
112.000	72.321	17.144	169.600
113.000	72.488	17.104	172.444
114.000	72.656	17.065	177.000
115.000	72.823	17.025	183.911
116.000	72.991	16.986	190.156
117.000	73.158	16.947	190.511
118.000	73.325	16.909	186.378
119.000	73.493	16.870	179.956
120.000	73.660	16.832	176.978
121.000	73.828	16.794	178.178
122.000	73.995	16.756	178.444
123.000	74.163	16.718	183.578
124.000	74.330	16.680	183.867
125.000	74.497	16.643	186.222
126.000	74.665	16.605	191.956
127.000	74.832	16.568	200.511
128.000	75.000	16.531	206.289
