15-10-23spec_0009_0156.txt

Exposure (ms)	5000
Row number	Wavelength (nm)	Energy (eV)	Amplitude (a.u.)
0.000	53.570	23.144	131.333
1.000	53.738	23.072	131.778
2.000	53.905	23.000	132.556
3.000	54.073	22.929	132.378
4.000	54.240	22.858	130.956
5.000	54.408	22.788	130.911
6.000	54.575	22.718	131.333
7.000	54.742	22.649	131.378
8.000	54.910	22.580	131.356
9.000	55.077	22.511	131.622
10.000	55.245	22.443	130.933
11.000	55.412	22.375	130.311
12.000	55.579	22.308	131.556
13.000	55.747	22.241	131.844
14.000	55.914	22.174	132.267
15.000	56.082	22.108	132.378
16.000	56.249	22.042	132.111
17.000	56.417	21.977	132.844
18.000	56.584	21.912	132.978
19.000	56.751	21.847	132.111
20.000	56.919	21.783	133.356
21.000	57.086	21.719	134.156
22.000	57.254	21.655	133.756
23.000	57.421	21.592	133.933
24.000	57.588	21.529	134.422
25.000	57.756	21.467	134.556
26.000	57.923	21.405	133.622
27.000	58.091	21.343	133.622
28.000	58.258	21.282	134.156
29.000	58.426	21.221	134.178
30.000	58.593	21.160	133.800
31.000	58.760	21.100	131.489
32.000	58.928	21.040	130.467
33.000	59.095	20.980	131.422
34.000	59.263	20.921	129.911
35.000	59.430	20.862	127.089
36.000	59.597	20.804	124.200
37.000	59.765	20.745	120.089
38.000	59.932	20.687	116.333
39.000	60.100	20.630	111.200
40.000	60.267	20.572	105.644
41.000	60.434	20.515	102.956
42.000	60.602	20.459	100.867
43.000	60.769	20.402	101.933
44.000	60.937	20.346	101.533
45.000	61.104	20.291	101.556
46.000	61.272	20.235	101.000
47.000	61.439	20.180	100.467
48.000	61.606	20.125	99.756
49.000	61.774	20.071	100.333
50.000	61.941	20.016	99.822
51.000	62.109	19.962	99.644
52.000	62.276	19.909	100.289
53.000	62.443	19.855	100.000
54.000	62.611	19.802	99.978
55.000	62.778	19.750	100.378
56.000	62.946	19.697	100.244
57.000	63.113	19.645	100.378
58.000	63.281	19.593	101.467
59.000	63.448	19.541	101.089
60.000	63.615	19.490	101.556
61.000	63.783	19.439	102.022
62.000	63.950	19.388	103.467
63.000	64.118	19.337	105.756
64.000	64.285	19.287	110.822
65.000	64.452	19.237	111.889
66.000	64.620	19.187	108.911
67.000	64.787	19.137	106.778
68.000	64.955	19.088	104.333
69.000	65.122	19.039	106.489
70.000	65.290	18.990	107.356
71.000	65.457	18.941	107.622
72.000	65.624	18.893	105.289
73.000	65.792	18.845	103.244
74.000	65.959	18.797	102.556
75.000	66.127	18.750	101.667
76.000	66.294	18.702	101.467
77.000	66.461	18.655	101.844
78.000	66.629	18.608	102.756
79.000	66.796	18.562	103.022
80.000	66.964	18.515	103.356
81.000	67.131	18.469	102.022
82.000	67.299	18.423	103.089
83.000	67.466	18.377	102.067
84.000	67.633	18.332	102.511
85.000	67.801	18.287	102.689
86.000	67.968	18.242	103.067
87.000	68.136	18.197	103.178
88.000	68.303	18.152	104.044
89.000	68.470	18.108	105.111
90.000	68.638	18.064	103.711
91.000	68.805	18.020	103.800
92.000	68.973	17.976	103.689
93.000	69.140	17.932	104.444
94.000	69.307	17.889	103.378
95.000	69.475	17.846	105.378
96.000	69.642	17.803	105.089
97.000	69.810	17.760	106.133
98.000	69.977	17.718	105.178
99.000	70.145	17.676	104.978
100.000	70.312	17.633	105.400
101.000	70.479	17.592	105.889
102.000	70.647	17.550	106.044
103.000	70.814	17.508	105.356
104.000	70.982	17.467	107.267
105.000	71.149	17.426	106.933
106.000	71.316	17.385	107.511
107.000	71.484	17.344	108.689
108.000	71.651	17.304	107.511
109.000	71.819	17.263	108.022
110.000	71.986	17.223	108.333
111.000	72.154	17.183	109.689
112.000	72.321	17.144	109.378
113.000	72.488	17.104	110.489
114.000	72.656	17.065	111.778
115.000	72.823	17.025	114.867
116.000	72.991	16.986	115.156
117.000	73.158	16.947	113.689
118.000	73.325	16.909	115.511
119.000	73.493	16.870	117.978
120.000	73.660	16.832	123.000
121.000	73.828	16.794	129.778
122.000	73.995	16.756	128.956
123.000	74.163	16.718	122.089
124.000	74.330	16.680	118.911
125.000	74.497	16.643	116.889
126.000	74.665	16.605	116.756
127.000	74.832	16.568	117.800
128.000	75.000	16.531	118.378
129.000	75.167	16.494	119.244
130.000	75.334	16.458	120.867
131.000	75.502	16.421	125.156
132.000	75.669	16.385	130.311
133.000	75.837	16.349	139.311
134.000	76.004	16.313	152.044
135.000	76.171	16.277	161.244
136.000	76.339	16.241	168.711
137.000	76.506	16.206	174.022
138.000	76.674	16.170	173.556
139.000	76.841	16.135	172.956
140.000	77.009	16.100	176.711
141.000	77.176	16.065	192.600
142.000	77.343	16.030	211.000
143.000	77.511	15.996	219.044
144.000	77.678	15.961	213.933
145.000	77.846	15.927	213.178
146.000	78.013	15.893	225.267
147.000	78.180	15.859	221.778
148.000	78.348	15.825	215.022
149.000	78.515	15.791	225.000
150.000	78.683	15.757	237.356
151.000	78.850	15.724	254.133
152.000	79.018	15.691	278.844
153.000	79.185	15.658	310.222
154.000	79.352	15.625	337.644
155.000	79.520	15.592	344.289
156.000	79.687	15.559	321.867
157.000	79.855	15.526	287.667
158.000	80.022	15.494	267.222
159.000	80.189	15.461	273.756
160.000	80.357	15.429	295.911
161.000	80.524	15.397	312.911
162.000	80.692	15.365	309.378
163.000	80.859	15.333	292.778
164.000	81.027	15.302	279.533
165.000	81.194	15.270	269.844
166.000	81.361	15.239	261.956
167.000	81.529	15.207	253.356
168.000	81.696	15.176	249.489
169.000	81.864	15.145	263.911
170.000	82.031	15.114	291.933
171.000	82.198	15.084	346.289
172.000	82.366	15.053	421.489
173.000	82.533	15.022	481.489
174.000	82.701	14.992	541.333
175.000	82.868	14.962	592.356
176.000	83.036	14.931	645.244
177.000	83.203	14.901	685.244
178.000	83.370	14.871	698.067
179.000	83.538	14.842	663.111
180.000	83.705	14.812	631.400
181.000	83.873	14.782	594.378
182.000	84.040	14.753	536.978
183.000	84.207	14.724	469.533
184.000	84.375	14.694	411.089
185.000	84.542	14.665	394.778
186.000	84.710	14.636	417.000
187.000	84.877	14.608	465.356
188.000	85.044	14.579	526.778
189.000	85.212	14.550	583.022
190.000	85.379	14.522	622.511
191.000	85.547	14.493	659.889
192.000	85.714	14.465	684.556
193.000	85.882	14.437	736.711
194.000	86.049	14.409	811.022
195.000	86.216	14.381	879.800
196.000	86.384	14.353	900.467
197.000	86.551	14.325	885.600
198.000	86.719	14.297	861.222
199.000	86.886	14.270	832.844
200.000	87.053	14.242	803.444
201.000	87.221	14.215	746.689
202.000	87.388	14.188	663.978
203.000	87.556	14.161	585.600
204.000	87.723	14.134	532.689
205.000	87.891	14.107	530.467
206.000	88.058	14.080	567.867
207.000	88.225	14.053	613.111
208.000	88.393	14.027	629.444
209.000	88.560	14.000	607.289
210.000	88.728	13.974	578.178
211.000	88.895	13.947	573.378
212.000	89.062	13.921	581.889
213.000	89.230	13.895	590.578
214.000	89.397	13.869	605.467
215.000	89.565	13.843	638.467
216.000	89.732	13.817	668.422
217.000	89.900	13.791	678.422
218.000	90.067	13.766	668.244
219.000	90.234	13.740	656.733
220.000	90.402	13.715	648.911
221.000	90.569	13.689	643.600
222.000	90.737	13.664	662.622
223.000	90.904	13.639	669.311
224.000	91.071	13.614	668.311
225.000	91.239	13.589	664.644
226.000	91.406	13.564	674.489
227.000	91.574	13.539	691.422
228.000	91.741	13.515	700.933
229.000	91.908	13.490	695.978
230.000	92.076	13.465	663.178
231.000	92.243	13.441	614.800
232.000	92.411	13.417	533.622
233.000	92.578	13.392	467.000
234.000	92.746	13.368	447.178
235.000	92.913	13.344	468.289
236.000	93.080	13.320	516.244
237.000	93.248	13.296	551.467
238.000	93.415	13.272	570.778
239.000	93.583	13.249	609.444
240.000	93.750	13.225	632.311
