15-10-23spec_0009_0131.txt

Exposure (ms)	5000
Row number	Wavelength (nm)	Energy (eV)	Amplitude (a.u.)
0.000	53.570	23.144	150.489
1.000	53.738	23.072	151.311
2.000	53.905	23.000	151.133
3.000	54.073	22.929	151.200
4.000	54.240	22.858	149.867
5.000	54.408	22.788	151.756
6.000	54.575	22.718	150.489
7.000	54.742	22.649	150.778
8.000	54.910	22.580	151.244
9.000	55.077	22.511	150.644
10.000	55.245	22.443	152.133
11.000	55.412	22.375	153.156
12.000	55.579	22.308	152.267
13.000	55.747	22.241	151.022
14.000	55.914	22.174	151.556
15.000	56.082	22.108	153.333
16.000	56.249	22.042	152.111
17.000	56.417	21.977	152.600
18.000	56.584	21.912	154.089
19.000	56.751	21.847	153.556
20.000	56.919	21.783	153.556
21.000	57.086	21.719	154.133
22.000	57.254	21.655	153.289
23.000	57.421	21.592	155.089
24.000	57.588	21.529	157.467
25.000	57.756	21.467	154.978
26.000	57.923	21.405	155.867
27.000	58.091	21.343	156.289
28.000	58.258	21.282	155.022
29.000	58.426	21.221	154.800
30.000	58.593	21.160	154.622
31.000	58.760	21.100	153.578
32.000	58.928	21.040	151.156
33.000	59.095	20.980	149.511
34.000	59.263	20.921	147.800
35.000	59.430	20.862	145.467
36.000	59.597	20.804	142.756
37.000	59.765	20.745	138.022
38.000	59.932	20.687	132.111
39.000	60.100	20.630	125.644
40.000	60.267	20.572	120.200
41.000	60.434	20.515	115.800
42.000	60.602	20.459	115.044
43.000	60.769	20.402	115.622
44.000	60.937	20.346	114.889
45.000	61.104	20.291	114.222
46.000	61.272	20.235	115.178
47.000	61.439	20.180	115.000
48.000	61.606	20.125	113.889
49.000	61.774	20.071	114.756
50.000	61.941	20.016	114.000
51.000	62.109	19.962	114.222
52.000	62.276	19.909	113.467
53.000	62.443	19.855	114.533
54.000	62.611	19.802	114.200
55.000	62.778	19.750	114.644
56.000	62.946	19.697	116.267
57.000	63.113	19.645	118.756
58.000	63.281	19.593	123.089
59.000	63.448	19.541	126.400
60.000	63.615	19.490	132.333
61.000	63.783	19.439	132.000
62.000	63.950	19.388	130.956
63.000	64.118	19.337	126.156
64.000	64.285	19.287	120.822
65.000	64.452	19.237	119.933
66.000	64.620	19.187	117.867
67.000	64.787	19.137	117.956
68.000	64.955	19.088	116.556
69.000	65.122	19.039	117.022
70.000	65.290	18.990	116.622
71.000	65.457	18.941	117.000
72.000	65.624	18.893	117.333
73.000	65.792	18.845	118.356
74.000	65.959	18.797	120.000
75.000	66.127	18.750	121.889
76.000	66.294	18.702	126.489
77.000	66.461	18.655	131.533
78.000	66.629	18.608	136.156
79.000	66.796	18.562	135.489
80.000	66.964	18.515	134.222
81.000	67.131	18.469	125.733
82.000	67.299	18.423	121.356
83.000	67.466	18.377	122.733
84.000	67.633	18.332	121.067
85.000	67.801	18.287	121.956
86.000	67.968	18.242	121.778
87.000	68.136	18.197	122.511
88.000	68.303	18.152	122.778
89.000	68.470	18.108	124.556
90.000	68.638	18.064	128.178
91.000	68.805	18.020	130.822
