15-10-23spec_0009_0143.txt

Exposure (ms)	5000
Row number	Wavelength (nm)	Energy (eV)	Amplitude (a.u.)
0.000	53.570	23.144	142.733
1.000	53.738	23.072	141.311
2.000	53.905	23.000	142.978
3.000	54.073	22.929	142.000
4.000	54.240	22.858	143.467
5.000	54.408	22.788	144.133
6.000	54.575	22.718	143.356
7.000	54.742	22.649	144.200
8.000	54.910	22.580	144.667
9.000	55.077	22.511	144.444
10.000	55.245	22.443	145.889
11.000	55.412	22.375	145.956
12.000	55.579	22.308	146.000
13.000	55.747	22.241	146.178
14.000	55.914	22.174	146.044
15.000	56.082	22.108	147.422
16.000	56.249	22.042	146.667
17.000	56.417	21.977	146.756
18.000	56.584	21.912	147.933
19.000	56.751	21.847	148.200
20.000	56.919	21.783	148.289
21.000	57.086	21.719	148.667
22.000	57.254	21.655	150.156
23.000	57.421	21.592	150.244
24.000	57.588	21.529	151.444
25.000	57.756	21.467	151.089
26.000	57.923	21.405	152.933
27.000	58.091	21.343	151.244
28.000	58.258	21.282	151.222
29.000	58.426	21.221	150.267
30.000	58.593	21.160	149.444
31.000	58.760	21.100	149.956
32.000	58.928	21.040	146.044
33.000	59.095	20.980	145.089
34.000	59.263	20.921	144.267
35.000	59.430	20.862	141.489
36.000	59.597	20.804	139.022
37.000	59.765	20.745	134.111
38.000	59.932	20.687	127.889
39.000	60.100	20.630	122.467
40.000	60.267	20.572	118.000
41.000	60.434	20.515	113.889
42.000	60.602	20.459	111.689
43.000	60.769	20.402	112.178
44.000	60.937	20.346	112.200
45.000	61.104	20.291	112.044
46.000	61.272	20.235	112.356
47.000	61.439	20.180	113.000
48.000	61.606	20.125	112.422
49.000	61.774	20.071	111.600
50.000	61.941	20.016	111.978
51.000	62.109	19.962	110.222
52.000	62.276	19.909	111.133
53.000	62.443	19.855	111.133
54.000	62.611	19.802	110.556
55.000	62.778	19.750	111.511
56.000	62.946	19.697	110.222
57.000	63.113	19.645	112.000
58.000	63.281	19.593	112.311
59.000	63.448	19.541	110.689
60.000	63.615	19.490	112.133
61.000	63.783	19.439	112.978
62.000	63.950	19.388	112.067
63.000	64.118	19.337	112.778
64.000	64.285	19.287	114.022
65.000	64.452	19.237	113.733
66.000	64.620	19.187	113.044
67.000	64.787	19.137	114.156
68.000	64.955	19.088	115.578
69.000	65.122	19.039	115.222
70.000	65.290	18.990	116.111
71.000	65.457	18.941	116.444
72.000	65.624	18.893	118.867
73.000	65.792	18.845	118.889
74.000	65.959	18.797	120.689
75.000	66.127	18.750	122.022
76.000	66.294	18.702	126.978
77.000	66.461	18.655	135.267
78.000	66.629	18.608	147.267
79.000	66.796	18.562	160.244
80.000	66.964	18.515	164.222
81.000	67.131	18.469	152.511
82.000	67.299	18.423	137.867
83.000	67.466	18.377	133.311
84.000	67.633	18.332	129.933
85.000	67.801	18.287	127.911
86.000	67.968	18.242	128.489
87.000	68.136	18.197	129.667
88.000	68.303	18.152	132.422
89.000	68.470	18.108	136.022
90.000	68.638	18.064	137.089
91.000	68.805	18.020	137.133
92.000	68.973	17.976	133.333
93.000	69.140	17.932	132.889
94.000	69.307	17.889	133.178
95.000	69.475	17.846	136.356
96.000	69.642	17.803	141.333
97.000	69.810	17.760	142.444
98.000	69.977	17.718	141.422
99.000	70.145	17.676	140.089
100.000	70.312	17.633	140.800
101.000	70.479	17.592	145.089
102.000	70.647	17.550	145.467
103.000	70.814	17.508	148.978
104.000	70.982	17.467	154.444
105.000	71.149	17.426	160.533
106.000	71.316	17.385	169.600
107.000	71.484	17.344	183.733
108.000	71.651	17.304	202.667
109.000	71.819	17.263	223.533
110.000	71.986	17.223	247.800
111.000	72.154	17.183	282.733
112.000	72.321	17.144	303.867
113.000	72.488	17.104	313.733
114.000	72.656	17.065	314.556
115.000	72.823	17.025	330.311
116.000	72.991	16.986	384.933
117.000	73.158	16.947	481.333
118.000	73.325	16.909	617.489
119.000	73.493	16.870	739.733
120.000	73.660	16.832	823.311
121.000	73.828	16.794	857.778
122.000	73.995	16.756	883.800
123.000	74.163	16.718	912.578
124.000	74.330	16.680	948.222
125.000	74.497	16.643	984.356
126.000	74.665	16.605	1020.578
127.000	74.832	16.568	1046.133
128.000	75.000	16.531	1044.267
129.000	75.167	16.494	1048.667
130.000	75.334	16.458	1040.822
131.000	75.502	16.421	1013.689
132.000	75.669	16.385	974.667
133.000	75.837	16.349	924.244
134.000	76.004	16.313	884.711
135.000	76.171	16.277	877.578
136.000	76.339	16.241	916.733
137.000	76.506	16.206	953.444
138.000	76.674	16.170	996.689
139.000	76.841	16.135	1015.578
140.000	77.009	16.100	1010.933
141.000	77.176	16.065	1002.689
142.000	77.343	16.030	989.844
143.000	77.511	15.996	1006.956
144.000	77.678	15.961	1012.089
145.000	77.846	15.927	1012.178
146.000	78.013	15.893	1000.600
147.000	78.180	15.859	1013.200
148.000	78.348	15.825	1035.556
149.000	78.515	15.791	1033.511
150.000	78.683	15.757	1018.311
151.000	78.850	15.724	988.044
152.000	79.018	15.691	954.022
153.000	79.185	15.658	929.178
154.000	79.352	15.625	924.844
155.000	79.520	15.592	900.467
156.000	79.687	15.559	871.333
157.000	79.855	15.526	858.867
158.000	80.022	15.494	853.422
159.000	80.189	15.461	840.311
160.000	80.357	15.429	811.111
161.000	80.524	15.397	767.556
162.000	80.692	15.365	726.267
163.000	80.859	15.333	697.400
164.000	81.027	15.302	673.644
165.000	81.194	15.270	613.689
166.000	81.361	15.239	546.156
167.000	81.529	15.207	492.244
168.000	81.696	15.176	462.156
169.000	81.864	15.145	476.156
170.000	82.031	15.114	538.222
171.000	82.198	15.084	630.133
172.000	82.366	15.053	746.778
173.000	82.533	15.022	848.844
174.000	82.701	14.992	922.978
175.000	82.868	14.962	988.689
176.000	83.036	14.931	1041.356
177.000	83.203	14.901	1100.067
178.000	83.370	14.871	1136.044
179.000	83.538	14.842	1121.067
180.000	83.705	14.812	1074.556
181.000	83.873	14.782	1023.556
182.000	84.040	14.753	928.000
183.000	84.207	14.724	813.822
184.000	84.375	14.694	690.000
185.000	84.542	14.665	599.756
186.000	84.710	14.636	575.311
187.000	84.877	14.608	607.067
188.000	85.044	14.579	673.600
189.000	85.212	14.550	796.911
190.000	85.379	14.522	963.644
191.000	85.547	14.493	1113.644
192.000	85.714	14.465	1184.800
193.000	85.882	14.437	1219.422
194.000	86.049	14.409	1245.467
195.000	86.216	14.381	1255.933
196.000	86.384	14.353	1205.089
197.000	86.551	14.325	1123.178
198.000	86.719	14.297	1070.844
199.000	86.886	14.270	1019.244
200.000	87.053	14.242	975.356
201.000	87.221	14.215	914.422
202.000	87.388	14.188	828.222
203.000	87.556	14.161	756.022
204.000	87.723	14.134	725.556
205.000	87.891	14.107	747.622
206.000	88.058	14.080	789.867
207.000	88.225	14.053	868.756
208.000	88.393	14.027	931.800
209.000	88.560	14.000	949.578
210.000	88.728	13.974	933.044
211.000	88.895	13.947	934.178
212.000	89.062	13.921	926.422
213.000	89.230	13.895	927.978
214.000	89.397	13.869	948.667
215.000	89.565	13.843	961.022
216.000	89.732	13.817	948.956
217.000	89.900	13.791	912.778
218.000	90.067	13.766	889.756
219.000	90.234	13.740	882.089
220.000	90.402	13.715	911.178
221.000	90.569	13.689	942.200
222.000	90.737	13.664	954.578
223.000	90.904	13.639	937.356
224.000	91.071	13.614	907.400
225.000	91.239	13.589	874.867
226.000	91.406	13.564	847.667
227.000	91.574	13.539	822.356
228.000	91.741	13.515	836.844
229.000	91.908	13.490	862.689
230.000	92.076	13.465	864.511
231.000	92.243	13.441	850.200
232.000	92.411	13.417	845.067
233.000	92.578	13.392	859.067
234.000	92.746	13.368	871.022
235.000	92.913	13.344	851.156
236.000	93.080	13.320	821.556
237.000	93.248	13.296	817.467
238.000	93.415	13.272	814.044
239.000	93.583	13.249	848.578
240.000	93.750	13.225	882.133
241.000	93.917	13.201	874.889
242.000	94.085	13.178	851.467
243.000	94.252	13.154	823.844
244.000	94.420	13.131	744.067
245.000	94.587	13.108	674.289
246.000	94.755	13.085	672.800
247.000	94.922	13.062	696.689
248.000	95.089	13.039	733.400
249.000	95.257	13.016	757.689
250.000	95.424	12.993	715.044
251.000	95.592	12.970	639.000
252.000	95.759	12.948	587.378
253.000	95.926	12.925	557.556
254.000	96.094	12.902	565.978
255.000	96.261	12.880	580.178
256.000	96.429	12.858	596.622
257.000	96.596	12.835	628.067
258.000	96.764	12.813	631.133
259.000	96.931	12.791	634.889
260.000	97.098	12.769	657.267
261.000	97.266	12.747	680.667
262.000	97.433	12.725	672.667
263.000	97.601	12.703	670.044
264.000	97.768	12.681	699.956
265.000	97.935	12.660	679.933
266.000	98.103	12.638	625.333
267.000	98.270	12.617	574.778
268.000	98.438	12.595	545.289
269.000	98.605	12.574	533.844
270.000	98.773	12.553	566.822
271.000	98.940	12.531	612.556
272.000	99.107	12.510	625.867
273.000	99.275	12.489	627.756
274.000	99.442	12.468	649.200
275.000	99.610	12.447	639.756
276.000	99.777	12.426	604.111
277.000	99.944	12.405	597.400
278.000	100.112	12.385	596.711
279.000	100.279	12.364	550.622
280.000	100.447	12.343	491.689
281.000	100.614	12.323	447.378
282.000	100.781	12.302	419.333
283.000	100.949	12.282	420.244
284.000	101.116	12.262	473.756
285.000	101.284	12.241	508.933
286.000	101.451	12.221	458.022
287.000	101.619	12.201	377.644
288.000	101.786	12.181	329.044
289.000	101.953	12.161	297.689
290.000	102.121	12.141	270.444
291.000	102.288	12.121	270.622
292.000	102.456	12.101	284.467
293.000	102.623	12.082	277.733
294.000	102.790	12.062	262.911
295.000	102.958	12.042	255.333
296.000	103.125	12.023	257.667
297.000	103.293	12.003	249.267
298.000	103.460	11.984	242.556
299.000	103.628	11.964	260.044
300.000	103.795	11.945	278.600
301.000	103.962	11.926	270.222
302.000	104.130	11.907	254.022
303.000	104.297	11.888	253.600
304.000	104.465	11.869	259.089
305.000	104.632	11.850	265.844
306.000	104.799	11.831	296.622
307.000	104.967	11.812	330.600
308.000	105.134	11.793	318.733
309.000	105.302	11.774	282.289
310.000	105.469	11.755	256.267
311.000	105.637	11.737	247.600
312.000	105.804	11.718	242.667
313.000	105.971	11.700	241.400
314.000	106.139	11.681	258.222
315.000	106.306	11.663	285.933
316.000	106.474	11.645	282.422
317.000	106.641	11.626	263.244
318.000	106.808	11.608	246.978
319.000	106.976	11.590	245.044
320.000	107.143	11.572	241.489
321.000	107.311	11.554	228.244
322.000	107.478	11.536	220.044
323.000	107.645	11.518	234.844
324.000	107.813	11.500	251.044
325.000	107.980	11.482	244.289
326.000	108.148	11.464	237.356
327.000	108.315	11.447	249.067
328.000	108.483	11.429	266.600
329.000	108.650	11.411	263.378
330.000	108.817	11.394	235.911
331.000	108.985	11.376	208.711
332.000	109.152	11.359	196.089
333.000	109.320	11.341	201.756
334.000	109.487	11.324	216.089
335.000	109.654	11.307	236.022
336.000	109.822	11.290	251.778
337.000	109.989	11.272	253.200
338.000	110.157	11.255	246.333
339.000	110.324	11.238	226.889
340.000	110.492	11.221	216.778
341.000	110.659	11.204	217.222
342.000	110.826	11.187	227.089
343.000	110.994	11.170	240.511
344.000	111.161	11.154	244.578
345.000	111.329	11.137	239.222
346.000	111.496	11.120	228.044
347.000	111.663	11.103	226.933
348.000	111.831	11.087	229.867
349.000	111.998	11.070	240.578
350.000	112.166	11.054	249.444
351.000	112.333	11.037	250.578
352.000	112.501	11.021	246.733
353.000	112.668	11.004	253.000
354.000	112.835	10.988	280.533
355.000	113.003	10.972	312.111
356.000	113.170	10.956	332.222
357.000	113.338	10.939	323.689
358.000	113.505	10.923	312.489
359.000	113.672	10.907	308.222
360.000	113.840	10.891	307.533
361.000	114.007	10.875	305.178
362.000	114.175	10.859	295.067
363.000	114.342	10.843	277.556
364.000	114.510	10.827	250.844
365.000	114.677	10.812	224.200
366.000	114.844	10.796	202.044
367.000	115.012	10.780	187.556
368.000	115.179	10.764	187.511
369.000	115.347	10.749	200.844
370.000	115.514	10.733	216.822
371.000	115.681	10.718	238.422
372.000	115.849	10.702	260.022
373.000	116.016	10.687	278.622
374.000	116.184	10.671	290.244
375.000	116.351	10.656	290.867
376.000	116.518	10.641	286.778
377.000	116.686	10.625	279.000
378.000	116.853	10.610	261.489
379.000	117.021	10.595	249.622
380.000	117.188	10.580	237.400
381.000	117.356	10.565	228.022
382.000	117.523	10.550	219.933
383.000	117.690	10.535	211.889
384.000	117.858	10.520	205.133
385.000	118.025	10.505	202.667
386.000	118.193	10.490	203.133
387.000	118.360	10.475	205.911
388.000	118.527	10.460	191.200
389.000	118.695	10.446	174.111
390.000	118.862	10.431	159.756
391.000	119.030	10.416	149.044
392.000	119.197	10.402	142.622
393.000	119.365	10.387	142.844
394.000	119.532	10.372	142.200
395.000	119.699	10.358	146.533
396.000	119.867	10.343	149.956
397.000	120.034	10.329	145.578
398.000	120.202	10.315	142.311
399.000	120.369	10.300	137.533
400.000	120.536	10.286	136.156
401.000	120.704	10.272	135.244
402.000	120.871	10.258	137.178
403.000	121.039	10.243	137.333
404.000	121.206	10.229	141.911
405.000	121.374	10.215	151.044
406.000	121.541	10.201	156.178
407.000	121.708	10.187	159.578
408.000	121.876	10.173	169.378
409.000	122.043	10.159	186.889
410.000	122.211	10.145	203.578
411.000	122.378	10.131	210.533
412.000	122.545	10.117	198.822
413.000	122.713	10.104	175.333
414.000	122.880	10.090	162.156
415.000	123.048	10.076	158.911
416.000	123.215	10.062	156.444
417.000	123.383	10.049	159.867
418.000	123.550	10.035	165.867
419.000	123.717	10.022	164.178
420.000	123.885	10.008	153.667
421.000	124.052	9.995	141.978
422.000	124.220	9.981	137.711
423.000	124.387	9.968	135.089
424.000	124.554	9.954	135.622
425.000	124.722	9.941	135.600
426.000	124.889	9.928	136.000
427.000	125.057	9.914	137.778
428.000	125.224	9.901	142.044
429.000	125.391	9.888	149.822
430.000	125.559	9.875	163.356
431.000	125.726	9.861	173.711
432.000	125.894	9.848	177.111
433.000	126.061	9.835	179.844
434.000	126.229	9.822	177.244
435.000	126.396	9.809	170.267
436.000	126.563	9.796	164.267
437.000	126.731	9.783	166.378
438.000	126.898	9.770	171.311
439.000	127.066	9.757	180.311
440.000	127.233	9.745	184.489
441.000	127.400	9.732	185.289
442.000	127.568	9.719	185.800
443.000	127.735	9.706	191.244
444.000	127.903	9.694	192.489
445.000	128.070	9.681	184.933
446.000	128.238	9.668	178.467
447.000	128.405	9.656	175.022
448.000	128.572	9.643	167.867
449.000	128.740	9.631	156.133
450.000	128.907	9.618	148.244
451.000	129.075	9.606	140.933
452.000	129.242	9.593	135.244
453.000	129.409	9.581	132.689
454.000	129.577	9.568	133.644
455.000	129.744	9.556	133.400
456.000	129.912	9.544	136.889
457.000	130.079	9.531	144.644
458.000	130.247	9.519	150.222
459.000	130.414	9.507	155.378
460.000	130.581	9.495	164.578
461.000	130.749	9.483	173.422
462.000	130.916	9.471	175.956
463.000	131.084	9.458	175.400
464.000	131.251	9.446	178.578
465.000	131.418	9.434	181.511
466.000	131.586	9.422	185.533
467.000	131.753	9.410	187.644
468.000	131.921	9.398	186.889
469.000	132.088	9.386	180.156
470.000	132.255	9.375	174.422
471.000	132.423	9.363	171.156
472.000	132.590	9.351	169.267
473.000	132.758	9.339	169.711
474.000	132.925	9.327	168.533
475.000	133.093	9.316	160.067
476.000	133.260	9.304	154.778
477.000	133.427	9.292	161.222
478.000	133.595	9.281	178.178
479.000	133.762	9.269	189.444
480.000	133.930	9.257	190.644
481.000	134.097	9.246	181.844
482.000	134.264	9.234	178.422
483.000	134.432	9.223	177.578
484.000	134.599	9.211	173.978
485.000	134.767	9.200	164.489
486.000	134.934	9.188	149.467
487.000	135.102	9.177	140.956
488.000	135.269	9.166	137.756
489.000	135.436	9.154	135.844
490.000	135.604	9.143	135.778
491.000	135.771	9.132	136.378
492.000	135.939	9.121	136.289
493.000	136.106	9.109	142.000
494.000	136.273	9.098	153.778
495.000	136.441	9.087	170.111
496.000	136.608	9.076	188.822
497.000	136.776	9.065	202.578
498.000	136.943	9.054	195.622
499.000	137.111	9.043	183.222
500.000	137.278	9.032	169.844
501.000	137.445	9.021	166.822
502.000	137.613	9.010	179.644
503.000	137.780	8.999	193.267
504.000	137.948	8.988	206.867
505.000	138.115	8.977	212.267
506.000	138.282	8.966	203.378
507.000	138.450	8.955	182.756
508.000	0.000	0.000	0.000
509.000	0.000	0.000	0.000
510.000	0.000	0.000	0.000
511.000	0.000	0.000	0.000
512.000	0.000	0.000	0.000
513.000	0.000	0.000	0.000
514.000	0.000	0.000	0.000
515.000	0.000	0.000	0.000
516.000	0.000	0.000	0.000
517.000	0.000	0.000	0.000
518.000	0.000	0.000	0.000
519.000	0.000	0.000	0.000
520.000	0.000	0.000	0.000
521.000	0.000	0.000	0.000
522.000	0.000	0.000	0.000
523.000	0.000	0.000	0.000
524.000	0.000	0.000	0.000
525.000	0.000	0.000	0.000
526.000	0.000	0.000	0.000
527.000	0.000	0.000	0.000
528.000	0.000	0.000	0.000
529.000	0.000	0.000	0.000
530.000	0.000	0.000	0.000
531.000	0.000	0.000	0.000
532.000	0.000	0.000	0.000
533.000	0.000	0.000	0.000
534.000	0.000	0.000	0.000
535.000	0.000	0.000	0.000
536.000	0.000	0.000	0.000
537.000	0.000	0.000	0.000
538.000	0.000	0.000	0.000
539.000	0.000	0.000	0.000
540.000	0.000	0.000	0.000
541.000	0.000	0.000	0.000
542.000	0.000	0.000	0.000
543.000	0.000	0.000	0.000
544.000	0.000	0.000	0.000
545.000	0.000	0.000	0.000
546.000	0.000	0.000	0.000
547.000	0.000	0.000	0.000
548.000	0.000	0.000	0.000
549.000	0.000	0.000	0.000
550.000	0.000	0.000	0.000
551.000	0.000	0.000	0.000
552.000	0.000	0.000	0.000
553.000	0.000	0.000	0.000
554.000	0.000	0.000	0.000
555.000	0.000	0.000	0.000
556.000	0.000	0.000	0.000
557.000	0.000	0.000	0.000
558.000	0.000	0.000	0.000
559.000	0.000	0.000	0.000
560.000	0.000	0.000	0.000
561.000	0.000	0.000	0.000
562.000	0.000	0.000	0.000
563.000	0.000	0.000	0.000
564.000	0.000	0.000	0.000
565.000	0.000	0.000	0.000
566.000	0.000	0.000	0.000
567.000	0.000	0.000	0.000
568.000	0.000	0.000	0.000
569.000	0.000	0.000	0.000
570.000	0.000	0.000	0.000
571.000	0.000	0.000	0.000
572.000	0.000	0.000	0.000
573.000	0.000	0.000	0.000
574.000	0.000	0.000	0.000
575.000	0.000	0.000	0.000
576.000	0.000	0.000	0.000
577.000	0.000	0.000	0.000
578.000	0.000	0.000	0.000
579.000	0.000	0.000	0.000
580.000	0.000	0.000	0.000
581.000	0.000	0.000	0.000
582.000	0.000	0.000	0.000
583.000	0.000	0.000	0.000
584.000	0.000	0.000	0.000
585.000	0.000	0.000	0.000
586.000	0.000	0.000	0.000
587.000	0.000	0.000	0.000
588.000	0.000	0.000	0.000
589.000	0.000	0.000	0.000
590.000	0.000	0.000	0.000
591.000	0.000	0.000	0.000
592.000	0.000	0.000	0.000
593.000	0.000	0.000	0.000
594.000	0.000	0.000	0.000
595.000	0.000	0.000	0.000
596.000	0.000	0.000	0.000
597.000	0.000	0.000	0.000
598.000	0.000	0.000	0.000
599.000	0.000	0.000	0.000
600.000	0.000	0.000	0.000
601.000	0.000	0.000	0.000
602.000	0.000	0.000	0.000
603.000	0.000	0.000	0.000
604.000	0.000	0.000	0.000
605.000	0.000	0.000	0.000
606.000	0.000	0.000	0.000
607.000	0.000	0.000	0.000
608.000	0.000	0.000	0.000
609.000	0.000	0.000	0.000
610.000	0.000	0.000	0.000
611.000	0.000	0.000	0.000
612.000	0.000	0.000	0.000
613.000	0.000	0.000	0.000
614.000	0.000	0.000	0.000
615.000	0.000	0.000	0.000
616.000	0.000	0.000	0.000
617.000	0.000	0.000	0.000
618.000	0.000	0.000	0.000
619.000	0.000	0.000	0.000
620.000	0.000	0.000	0.000
621.000	0.000	0.000	0.000
622.000	0.000	0.000	0.000
623.000	0.000	0.000	0.000
624.000	0.000	0.000	0.000
625.000	0.000	0.000	0.000
626.000	0.000	0.000	0.000
627.000	0.000	0.000	0.000
628.000	0.000	0.000	0.000
629.000	0.000	0.000	0.000
630.000	0.000	0.000	0.000
631.000	0.000	0.000	0.000
632.000	0.000	0.000	0.000
633.000	0.000	0.000	0.000
634.000	0.000	0.000	0.000
635.000	0.000	0.000	0.000
636.000	0.000	0.000	0.000
637.000	0.000	0.000	0.000
638.000	0.000	0.000	0.000
639.000	0.000	0.000	0.000
640.000	0.000	0.000	0.000
641.000	0.000	0.000	0.000
642.000	0.000	0.000	0.000
643.000	0.000	0.000	0.000
644.000	0.000	0.000	0.000
645.000	0.000	0.000	0.000
646.000	0.000	0.000	0.000
647.000	0.000	0.000	0.000
648.000	0.000	0.000	0.000
649.000	0.000	0.000	0.000
650.000	0.000	0.000	0.000
651.000	0.000	0.000	0.000
652.000	0.000	0.000	0.000
653.000	0.000	0.000	0.000
654.000	0.000	0.000	0.000
655.000	0.000	0.000	0.000
656.000	0.000	0.000	0.000
657.000	0.000	0.000	0.000
658.000	0.000	0.000	0.000
659.000	0.000	0.000	0.000
660.000	0.000	0.000	0.000
661.000	0.000	0.000	0.000
662.000	0.000	0.000	0.000
663.000	0.000	0.000	0.000
664.000	0.000	0.000	0.000
665.000	0.000	0.000	0.000
666.000	0.000	0.000	0.000
667.000	0.000	0.000	0.000
668.000	0.000	0.000	0.000
669.000	0.000	0.000	0.000
670.000	0.000	0.000	0.000
671.000	0.000	0.000	0.000
672.000	0.000	0.000	0.000
673.000	0.000	0.000	0.000
674.000	0.000	0.000	0.000
675.000	0.000	0.000	0.000
676.000	0.000	0.000	0.000
677.000	0.000	0.000	0.000
678.000	0.000	0.000	0.000
679.000	0.000	0.000	0.000
680.000	0.000	0.000	0.000
681.000	0.000	0.000	0.000
682.000	0.000	0.000	0.000
683.000	0.000	0.000	0.000
684.000	0.000	0.000	0.000
685.000	0.000	0.000	0.000
686.000	0.000	0.000	0.000
687.000	0.000	0.000	0.000
688.000	0.000	0.000	0.000
689.000	0.000	0.000	0.000
690.000	0.000	0.000	0.000
691.000	0.000	0.000	0.000
692.000	0.000	0.000	0.000
693.000	0.000	0.000	0.000
694.000	0.000	0.000	0.000
695.000	0.000	0.000	0.000
696.000	0.000	0.000	0.000
697.000	0.000	0.000	0.000
698.000	0.000	0.000	0.000
699.000	0.000	0.000	0.000
700.000	0.000	0.000	0.000
701.000	0.000	0.000	0.000
702.000	0.000	0.000	0.000
703.000	0.000	0.000	0.000
704.000	0.000	0.000	0.000
705.000	0.000	0.000	0.000
706.000	0.000	0.000	0.000
707.000	0.000	0.000	0.000
708.000	0.000	0.000	0.000
709.000	0.000	0.000	0.000
710.000	0.000	0.000	0.000
711.000	0.000	0.000	0.000
712.000	0.000	0.000	0.000
713.000	0.000	0.000	0.000
714.000	0.000	0.000	0.000
715.000	0.000	0.000	0.000
716.000	0.000	0.000	0.000
717.000	0.000	0.000	0.000
718.000	0.000	0.000	0.000
719.000	0.000	0.000	0.000
720.000	0.000	0.000	0.000
721.000	0.000	0.000	0.000
722.000	0.000	0.000	0.000
723.000	0.000	0.000	0.000
724.000	0.000	0.000	0.000
725.000	0.000	0.000	0.000
726.000	0.000	0.000	0.000
727.000	0.000	0.000	0.000
728.000	0.000	0.000	0.000
729.000	0.000	0.000	0.000
730.000	0.000	0.000	0.000
731.000	0.000	0.000	0.000
732.000	0.000	0.000	0.000
733.000	0.000	0.000	0.000
734.000	0.000	0.000	0.000
735.000	0.000	0.000	0.000
736.000	0.000	0.000	0.000
737.000	0.000	0.000	0.000
738.000	0.000	0.000	0.000
739.000	0.000	0.000	0.000
740.000	0.000	0.000	0.000
741.000	0.000	0.000	0.000
742.000	0.000	0.000	0.000
743.000	0.000	0.000	0.000
744.000	0.000	0.000	0.000
745.000	0.000	0.000	0.000
746.000	0.000	0.000	0.000
747.000	0.000	0.000	0.000
748.000	0.000	0.000	0.000
749.000	0.000	0.000	0.000
750.000	0.000	0.000	0.000
751.000	0.000	0.000	0.000
752.000	0.000	0.000	0.000
753.000	0.000	0.000	0.000
754.000	0.000	0.000	0.000
755.000	0.000	0.000	0.000
756.000	0.000	0.000	0.000
757.000	0.000	0.000	0.000
758.000	0.000	0.000	0.000
759.000	0.000	0.000	0.000
760.000	0.000	0.000	0.000
761.000	0.000	0.000	0.000
762.000	0.000	0.000	0.000
763.000	0.000	0.000	0.000
764.000	0.000	0.000	0.000
765.000	0.000	0.000	0.000
766.000	0.000	0.000	0.000
767.000	0.000	0.000	0.000
768.000	0.000	0.000	0.000
769.000	0.000	0.000	0.000
770.000	0.000	0.000	0.000
771.000	0.000	0.000	0.000
772.000	0.000	0.000	0.000
773.000	0.000	0.000	0.000
774.000	0.000	0.000	0.000
775.000	0.000	0.000	0.000
776.000	0.000	0.000	0.000
777.000	0.000	0.000	0.000
778.000	0.000	0.000	0.000
779.000	0.000	0.000	0.000
780.000	0.000	0.000	0.000
781.000	0.000	0.000	0.000
782.000	0.000	0.000	0.000
783.000	0.000	0.000	0.000
784.000	0.000	0.000	0.000
785.000	0.000	0.000	0.000
786.000	0.000	0.000	0.000
787.000	0.000	0.000	0.000
788.000	0.000	0.000	0.000
789.000	0.000	0.000	0.000
790.000	0.000	0.000	0.000
791.000	0.000	0.000	0.000
792.000	0.000	0.000	0.000
793.000	0.000	0.000	0.000
794.000	0.000	0.000	0.000
795.000	0.000	0.000	0.000
796.000	0.000	0.000	0.000
797.000	0.000	0.000	0.000
798.000	0.000	0.000	0.000
799.000	0.000	0.000	0.000
800.000	0.000	0.000	0.000
801.000	0.000	0.000	0.000
802.000	0.000	0.000	0.000
803.000	0.000	0.000	0.000
804.000	0.000	0.000	0.000
805.000	0.000	0.000	0.000
806.000	0.000	0.000	0.000
807.000	0.000	0.000	0.000
808.000	0.000	0.000	0.000
809.000	0.000	0.000	0.000
810.000	0.000	0.000	0.000
811.000	0.000	0.000	0.000
812.000	0.000	0.000	0.000
813.000	0.000	0.000	0.000
814.000	0.000	0.000	0.000
815.000	0.000	0.000	0.000
816.000	0.000	0.000	0.000
817.000	0.000	0.000	0.000
818.000	0.000	0.000	0.000
819.000	0.000	0.000	0.000
820.000	0.000	0.000	0.000
821.000	0.000	0.000	0.000
822.000	0.000	0.000	0.000
823.000	0.000	0.000	0.000
824.000	0.000	0.000	0.000
825.000	0.000	0.000	0.000
826.000	0.000	0.000	0.000
827.000	0.000	0.000	0.000
828.000	0.000	0.000	0.000
829.000	0.000	0.000	0.000
830.000	0.000	0.000	0.000
831.000	0.000	0.000	0.000
832.000	0.000	0.000	0.000
833.000	0.000	0.000	0.000
834.000	0.000	0.000	0.000
835.000	0.000	0.000	0.000
836.000	0.000	0.000	0.000
837.000	0.000	0.000	0.000
838.000	0.000	0.000	0.000
839.000	0.000	0.000	0.000
840.000	0.000	0.000	0.000
841.000	0.000	0.000	0.000
842.000	0.000	0.000	0.000
843.000	0.000	0.000	0.000
844.000	0.000	0.000	0.000
845.000	0.000	0.000	0.000
846.000	0.000	0.000	0.000
847.000	0.000	0.000	0.000
848.000	0.000	0.000	0.000
849.000	0.000	0.000	0.000
850.000	0.000	0.000	0.000
851.000	0.000	0.000	0.000
852.000	0.000	0.000	0.000
