15-10-23spec_0009_0070.txt

Exposure (ms)	5000
Row number	Wavelength (nm)	Energy (eV)	Amplitude (a.u.)
0.000	53.570	23.144	147.444
1.000	53.738	23.072	146.978
2.000	53.905	23.000	147.178
3.000	54.073	22.929	146.511
4.000	54.240	22.858	146.644
5.000	54.408	22.788	146.467
6.000	54.575	22.718	147.911
7.000	54.742	22.649	146.911
8.000	54.910	22.580	148.178
9.000	55.077	22.511	148.156
10.000	55.245	22.443	148.689
11.000	55.412	22.375	147.867
12.000	55.579	22.308	148.622
13.000	55.747	22.241	148.333
14.000	55.914	22.174	150.756
15.000	56.082	22.108	149.933
16.000	56.249	22.042	150.644
17.000	56.417	21.977	149.844
18.000	56.584	21.912	151.311
19.000	56.751	21.847	151.467
20.000	56.919	21.783	152.622
21.000	57.086	21.719	150.822
22.000	57.254	21.655	151.778
23.000	57.421	21.592	154.067
24.000	57.588	21.529	153.289
25.000	57.756	21.467	154.089
26.000	57.923	21.405	152.822
27.000	58.091	21.343	152.711
28.000	58.258	21.282	153.533
29.000	58.426	21.221	151.511
30.000	58.593	21.160	152.556
31.000	58.760	21.100	151.178
32.000	58.928	21.040	148.578
33.000	59.095	20.980	147.289
34.000	59.263	20.921	145.133
35.000	59.430	20.862	142.778
36.000	59.597	20.804	140.556
37.000	59.765	20.745	137.222
38.000	59.932	20.687	130.156
39.000	60.100	20.630	123.289
40.000	60.267	20.572	118.400
41.000	60.434	20.515	114.933
42.000	60.602	20.459	114.444
43.000	60.769	20.402	113.356
44.000	60.937	20.346	113.600
45.000	61.104	20.291	113.178
46.000	61.272	20.235	115.178
47.000	61.439	20.180	113.778
48.000	61.606	20.125	112.956
49.000	61.774	20.071	112.978
50.000	61.941	20.016	112.133
51.000	62.109	19.962	111.067
52.000	62.276	19.909	111.533
53.000	62.443	19.855	112.711
54.000	62.611	19.802	111.378
55.000	62.778	19.750	113.578
56.000	62.946	19.697	111.956
57.000	63.113	19.645	113.644
58.000	63.281	19.593	112.578
59.000	63.448	19.541	115.000
60.000	63.615	19.490	114.289
61.000	63.783	19.439	114.978
62.000	63.950	19.388	114.356
63.000	64.118	19.337	115.689
64.000	64.285	19.287	118.578
65.000	64.452	19.237	120.178
66.000	64.620	19.187	122.133
67.000	64.787	19.137	119.133
68.000	64.955	19.088	117.044
69.000	65.122	19.039	115.933
70.000	65.290	18.990	116.267
71.000	65.457	18.941	115.400
72.000	65.624	18.893	115.622
73.000	65.792	18.845	116.044
74.000	65.959	18.797	117.000
75.000	66.127	18.750	117.422
76.000	66.294	18.702	117.867
77.000	66.461	18.655	118.644
78.000	66.629	18.608	120.889
79.000	66.796	18.562	123.000
80.000	66.964	18.515	129.267
81.000	67.131	18.469	131.556
82.000	67.299	18.423	129.822
83.000	67.466	18.377	125.289
84.000	67.633	18.332	124.422
85.000	67.801	18.287	124.844
86.000	67.968	18.242	124.200
87.000	68.136	18.197	124.444
88.000	68.303	18.152	127.733
89.000	68.470	18.108	129.422
90.000	68.638	18.064	132.933
91.000	68.805	18.020	137.978
92.000	68.973	17.976	142.844
93.000	69.140	17.932	145.511
94.000	69.307	17.889	144.289
95.000	69.475	17.846	146.044
96.000	69.642	17.803	145.489
97.000	69.810	17.760	144.111
98.000	69.977	17.718	139.000
99.000	70.145	17.676	136.822
100.000	70.312	17.633	136.444
101.000	70.479	17.592	136.711
102.000	70.647	17.550	138.022
103.000	70.814	17.508	139.067
104.000	70.982	17.467	140.422
105.000	71.149	17.426	143.689
106.000	71.316	17.385	144.133
107.000	71.484	17.344	149.044
108.000	71.651	17.304	152.178
109.000	71.819	17.263	160.156
110.000	71.986	17.223	173.489
111.000	72.154	17.183	190.600
112.000	72.321	17.144	213.489
113.000	72.488	17.104	240.356
114.000	72.656	17.065	267.244
115.000	72.823	17.025	278.000
116.000	72.991	16.986	273.311
117.000	73.158	16.947	270.733
118.000	73.325	16.909	290.222
119.000	73.493	16.870	311.578
120.000	73.660	16.832	335.333
121.000	73.828	16.794	359.089
122.000	73.995	16.756	399.356
123.000	74.163	16.718	442.533
124.000	74.330	16.680	484.956
125.000	74.497	16.643	536.111
126.000	74.665	16.605	577.067
127.000	74.832	16.568	623.333
128.000	75.000	16.531	667.089
129.000	75.167	16.494	682.200
130.000	75.334	16.458	712.800
131.000	75.502	16.421	761.711
132.000	75.669	16.385	813.222
133.000	75.837	16.349	855.667
134.000	76.004	16.313	878.644
135.000	76.171	16.277	873.133
136.000	76.339	16.241	860.000
137.000	76.506	16.206	874.311
138.000	76.674	16.170	892.778
139.000	76.841	16.135	911.378
140.000	77.009	16.100	945.622
141.000	77.176	16.065	1009.711
142.000	77.343	16.030	1045.400
143.000	77.511	15.996	1043.622
144.000	77.678	15.961	1005.578
145.000	77.846	15.927	984.467
146.000	78.013	15.893	980.778
147.000	78.180	15.859	975.378
148.000	78.348	15.825	971.867
149.000	78.515	15.791	941.400
150.000	78.683	15.757	910.467
151.000	78.850	15.724	854.044
152.000	79.018	15.691	798.978
153.000	79.185	15.658	798.778
154.000	79.352	15.625	843.667
155.000	79.520	15.592	898.867
156.000	79.687	15.559	921.644
157.000	79.855	15.526	932.044
158.000	80.022	15.494	963.778
159.000	80.189	15.461	1003.556
160.000	80.357	15.429	1020.133
161.000	80.524	15.397	974.422
162.000	80.692	15.365	882.756
163.000	80.859	15.333	775.756
164.000	81.027	15.302	695.533
165.000	81.194	15.270	616.000
166.000	81.361	15.239	525.756
167.000	81.529	15.207	451.844
168.000	81.696	15.176	415.956
169.000	81.864	15.145	420.533
170.000	82.031	15.114	448.067
171.000	82.198	15.084	485.133
172.000	82.366	15.053	539.311
173.000	82.533	15.022	626.956
174.000	82.701	14.992	720.289
175.000	82.868	14.962	760.533
176.000	83.036	14.931	762.867
177.000	83.203	14.901	786.111
178.000	83.370	14.871	829.911
179.000	83.538	14.842	882.289
180.000	83.705	14.812	907.333
181.000	83.873	14.782	875.733
182.000	84.040	14.753	812.933
183.000	84.207	14.724	749.622
184.000	84.375	14.694	684.600
185.000	84.542	14.665	622.267
186.000	84.710	14.636	593.289
187.000	84.877	14.608	635.000
188.000	85.044	14.579	727.067
189.000	85.212	14.550	838.489
190.000	85.379	14.522	967.600
191.000	85.547	14.493	1080.244
192.000	85.714	14.465	1131.600
193.000	85.882	14.437	1109.356
194.000	86.049	14.409	1031.378
195.000	86.216	14.381	990.044
196.000	86.384	14.353	985.667
197.000	86.551	14.325	1018.333
198.000	86.719	14.297	1042.156
199.000	86.886	14.270	1026.244
200.000	87.053	14.242	977.622
201.000	87.221	14.215	933.156
202.000	87.388	14.188	863.511
203.000	87.556	14.161	760.289
204.000	87.723	14.134	695.978
205.000	87.891	14.107	684.622
206.000	88.058	14.080	696.111
207.000	88.225	14.053	741.978
208.000	88.393	14.027	806.511
209.000	88.560	14.000	876.356
210.000	88.728	13.974	922.244
211.000	88.895	13.947	928.644
212.000	89.062	13.921	949.089
213.000	89.230	13.895	964.400
214.000	89.397	13.869	959.778
215.000	89.565	13.843	941.422
216.000	89.732	13.817	908.689
217.000	89.900	13.791	870.422
218.000	90.067	13.766	841.778
219.000	90.234	13.740	815.444
220.000	90.402	13.715	793.267
221.000	90.569	13.689	769.711
222.000	90.737	13.664	765.444
223.000	90.904	13.639	796.533
224.000	91.071	13.614	845.489
225.000	91.239	13.589	892.889
226.000	91.406	13.564	903.556
227.000	91.574	13.539	882.489
228.000	91.741	13.515	876.956
229.000	91.908	13.490	895.511
230.000	92.076	13.465	926.956
231.000	92.243	13.441	927.467
232.000	92.411	13.417	889.689
233.000	92.578	13.392	819.156
234.000	92.746	13.368	751.244
235.000	92.913	13.344	684.556
236.000	93.080	13.320	631.667
237.000	93.248	13.296	600.956
238.000	93.415	13.272	575.444
239.000	93.583	13.249	602.111
240.000	93.750	13.225	650.844
241.000	93.917	13.201	675.800
242.000	94.085	13.178	702.644
243.000	94.252	13.154	709.867
244.000	94.420	13.131	667.089
245.000	94.587	13.108	647.489
246.000	94.755	13.085	637.689
247.000	94.922	13.062	616.467
248.000	95.089	13.039	600.244
249.000	95.257	13.016	581.311
250.000	95.424	12.993	570.956
251.000	95.592	12.970	591.756
252.000	95.759	12.948	599.711
253.000	95.926	12.925	564.822
254.000	96.094	12.902	509.667
255.000	96.261	12.880	478.444
256.000	96.429	12.858	458.711
257.000	96.596	12.835	456.089
258.000	96.764	12.813	451.533
259.000	96.931	12.791	459.978
260.000	97.098	12.769	489.578
261.000	97.266	12.747	523.533
262.000	97.433	12.725	524.578
263.000	97.601	12.703	536.000
264.000	97.768	12.681	555.933
265.000	97.935	12.660	541.111
266.000	98.103	12.638	521.778
267.000	98.270	12.617	509.267
268.000	98.438	12.595	480.289
269.000	98.605	12.574	433.844
270.000	98.773	12.553	405.356
271.000	98.940	12.531	399.111
272.000	99.107	12.510	400.911
273.000	99.275	12.489	412.000
274.000	99.442	12.468	415.244
275.000	99.610	12.447	430.489
276.000	99.777	12.426	453.444
277.000	99.944	12.405	468.156
278.000	100.112	12.385	451.978
279.000	100.279	12.364	415.244
280.000	100.447	12.343	397.578
281.000	100.614	12.323	403.956
282.000	100.781	12.302	406.422
283.000	100.949	12.282	382.800
284.000	101.116	12.262	357.311
285.000	101.284	12.241	325.911
286.000	101.451	12.221	303.511
287.000	101.619	12.201	302.756
288.000	101.786	12.181	306.467
289.000	101.953	12.161	301.600
290.000	102.121	12.141	286.578
291.000	102.288	12.121	275.956
292.000	102.456	12.101	260.600
293.000	102.623	12.082	231.867
294.000	102.790	12.062	210.133
295.000	102.958	12.042	208.489
296.000	103.125	12.023	206.622
297.000	103.293	12.003	216.289
298.000	103.460	11.984	247.822
299.000	103.628	11.964	282.978
300.000	103.795	11.945	279.467
301.000	103.962	11.926	246.333
302.000	104.130	11.907	224.978
303.000	104.297	11.888	224.711
304.000	104.465	11.869	229.222
305.000	104.632	11.850	237.044
306.000	104.799	11.831	258.222
307.000	104.967	11.812	275.667
308.000	105.134	11.793	282.644
309.000	105.302	11.774	284.978
310.000	105.469	11.755	309.311
311.000	105.637	11.737	316.267
312.000	105.804	11.718	287.600
313.000	105.971	11.700	251.822
314.000	106.139	11.681	254.044
315.000	106.306	11.663	264.022
316.000	106.474	11.645	248.956
317.000	106.641	11.626	213.133
318.000	106.808	11.608	195.289
319.000	106.976	11.590	188.800
320.000	107.143	11.572	184.489
321.000	107.311	11.554	184.978
322.000	107.478	11.536	187.689
323.000	107.645	11.518	184.844
324.000	107.813	11.500	180.822
325.000	107.980	11.482	168.333
326.000	108.148	11.464	155.267
327.000	108.315	11.447	153.200
328.000	108.483	11.429	154.844
329.000	108.650	11.411	151.689
330.000	108.817	11.394	146.356
331.000	108.985	11.376	149.933
332.000	109.152	11.359	153.978
333.000	109.320	11.341	158.867
334.000	109.487	11.324	162.933
335.000	109.654	11.307	181.800
336.000	109.822	11.290	206.911
337.000	109.989	11.272	214.133
338.000	110.157	11.255	205.222
339.000	110.324	11.238	198.200
340.000	110.492	11.221	189.244
341.000	110.659	11.204	182.044
342.000	110.826	11.187	179.889
343.000	110.994	11.170	180.200
344.000	111.161	11.154	181.333
345.000	111.329	11.137	183.778
346.000	111.496	11.120	183.511
347.000	111.663	11.103	177.000
348.000	111.831	11.087	175.467
349.000	111.998	11.070	180.111
350.000	112.166	11.054	189.756
351.000	112.333	11.037	196.867
352.000	112.501	11.021	200.711
353.000	112.668	11.004	199.333
354.000	112.835	10.988	198.911
355.000	113.003	10.972	207.111
356.000	113.170	10.956	201.556
357.000	113.338	10.939	192.267
358.000	113.505	10.923	186.978
359.000	113.672	10.907	185.689
360.000	113.840	10.891	192.933
361.000	114.007	10.875	198.178
362.000	114.175	10.859	194.600
363.000	114.342	10.843	195.644
364.000	114.510	10.827	198.356
365.000	114.677	10.812	202.400
366.000	114.844	10.796	195.467
367.000	115.012	10.780	188.867
368.000	115.179	10.764	188.156
369.000	115.347	10.749	194.689
370.000	115.514	10.733	192.533
371.000	115.681	10.718	191.711
372.000	115.849	10.702	200.444
373.000	116.016	10.687	208.178
374.000	116.184	10.671	217.511
375.000	116.351	10.656	222.489
376.000	116.518	10.641	213.156
377.000	116.686	10.625	191.467
378.000	116.853	10.610	175.400
379.000	117.021	10.595	169.067
380.000	117.188	10.580	166.467
381.000	117.356	10.565	166.422
382.000	117.523	10.550	165.467
383.000	117.690	10.535	161.400
384.000	117.858	10.520	156.778
385.000	118.025	10.505	157.089
386.000	118.193	10.490	163.956
387.000	118.360	10.475	163.489
388.000	118.527	10.460	163.400
389.000	118.695	10.446	157.578
390.000	118.862	10.431	160.000
391.000	119.030	10.416	160.222
392.000	119.197	10.402	159.600
393.000	119.365	10.387	164.933
394.000	119.532	10.372	163.556
395.000	119.699	10.358	161.978
396.000	119.867	10.343	154.289
397.000	120.034	10.329	148.000
398.000	120.202	10.315	142.467
399.000	120.369	10.300	141.267
400.000	120.536	10.286	142.622
401.000	120.704	10.272	145.711
402.000	120.871	10.258	147.911
403.000	121.039	10.243	159.867
404.000	121.206	10.229	166.867
405.000	121.374	10.215	176.689
406.000	121.541	10.201	184.444
407.000	121.708	10.187	192.867
408.000	121.876	10.173	199.467
409.000	122.043	10.159	212.244
410.000	122.211	10.145	225.689
411.000	122.378	10.131	228.511
412.000	122.545	10.117	217.178
413.000	122.713	10.104	190.311
414.000	122.880	10.090	175.867
415.000	123.048	10.076	172.844
416.000	123.215	10.062	176.867
417.000	123.383	10.049	168.911
418.000	123.550	10.035	159.556
419.000	123.717	10.022	153.156
420.000	123.885	10.008	152.667
421.000	124.052	9.995	158.089
422.000	124.220	9.981	176.200
423.000	124.387	9.968	184.911
424.000	124.554	9.954	188.200
425.000	124.722	9.941	187.200
426.000	124.889	9.928	178.289
427.000	125.057	9.914	163.089
428.000	125.224	9.901	153.511
429.000	125.391	9.888	146.378
430.000	125.559	9.875	143.956
431.000	125.726	9.861	144.289
432.000	125.894	9.848	146.067
433.000	126.061	9.835	149.511
434.000	126.229	9.822	160.178
435.000	126.396	9.809	175.400
436.000	126.563	9.796	195.178
437.000	126.731	9.783	215.178
438.000	126.898	9.770	236.644
439.000	127.066	9.757	247.511
440.000	127.233	9.745	252.467
441.000	127.400	9.732	242.356
442.000	127.568	9.719	224.867
443.000	127.735	9.706	201.044
444.000	127.903	9.694	179.533
445.000	128.070	9.681	165.044
446.000	128.238	9.668	158.022
447.000	128.405	9.656	160.489
448.000	128.572	9.643	170.111
449.000	128.740	9.631	179.089
450.000	128.907	9.618	178.489
451.000	129.075	9.606	174.467
452.000	129.242	9.593	167.267
453.000	129.409	9.581	162.800
454.000	129.577	9.568	161.844
455.000	129.744	9.556	160.511
456.000	129.912	9.544	154.733
457.000	130.079	9.531	154.222
458.000	130.247	9.519	162.800
459.000	130.414	9.507	177.689
460.000	130.581	9.495	184.422
461.000	130.749	9.483	179.756
462.000	130.916	9.471	174.467
463.000	131.084	9.458	178.933
464.000	131.251	9.446	185.067
465.000	131.418	9.434	185.089
466.000	131.586	9.422	184.333
467.000	131.753	9.410	189.067
468.000	131.921	9.398	194.933
469.000	132.088	9.386	200.444
470.000	132.255	9.375	205.956
471.000	132.423	9.363	217.733
472.000	132.590	9.351	217.644
473.000	132.758	9.339	205.133
474.000	132.925	9.327	185.889
475.000	133.093	9.316	168.200
476.000	133.260	9.304	156.578
477.000	133.427	9.292	151.667
478.000	133.595	9.281	149.978
479.000	133.762	9.269	155.933
480.000	133.930	9.257	156.467
481.000	134.097	9.246	154.889
482.000	134.264	9.234	158.044
483.000	134.432	9.223	166.689
484.000	134.599	9.211	173.067
485.000	134.767	9.200	176.733
486.000	134.934	9.188	172.844
487.000	135.102	9.177	167.467
488.000	135.269	9.166	166.756
489.000	135.436	9.154	160.311
490.000	135.604	9.143	160.289
491.000	135.771	9.132	159.756
492.000	135.939	9.121	168.422
493.000	136.106	9.109	177.044
494.000	136.273	9.098	175.311
495.000	136.441	9.087	166.222
496.000	136.608	9.076	155.222
497.000	136.776	9.065	150.711
498.000	136.943	9.054	152.911
499.000	137.111	9.043	159.311
500.000	137.278	9.032	163.533
501.000	137.445	9.021	157.756
502.000	137.613	9.010	150.756
503.000	137.780	8.999	141.756
504.000	137.948	8.988	140.400
505.000	138.115	8.977	143.822
506.000	138.282	8.966	147.178
507.000	138.450	8.955	147.956
508.000	0.000	0.000	0.000
509.000	0.000	0.000	0.000
510.000	0.000	0.000	0.000
511.000	0.000	0.000	0.000
512.000	0.000	0.000	0.000
513.000	0.000	0.000	0.000
514.000	0.000	0.000	0.000
515.000	0.000	0.000	0.000
516.000	0.000	0.000	0.000
517.000	0.000	0.000	0.000
518.000	0.000	0.000	0.000
519.000	0.000	0.000	0.000
520.000	0.000	0.000	0.000
521.000	0.000	0.000	0.000
522.000	0.000	0.000	0.000
523.000	0.000	0.000	0.000
524.000	0.000	0.000	0.000
525.000	0.000	0.000	0.000
526.000	0.000	0.000	0.000
527.000	0.000	0.000	0.000
528.000	0.000	0.000	0.000
529.000	0.000	0.000	0.000
530.000	0.000	0.000	0.000
531.000	0.000	0.000	0.000
532.000	0.000	0.000	0.000
533.000	0.000	0.000	0.000
534.000	0.000	0.000	0.000
535.000	0.000	0.000	0.000
536.000	0.000	0.000	0.000
537.000	0.000	0.000	0.000
538.000	0.000	0.000	0.000
539.000	0.000	0.000	0.000
540.000	0.000	0.000	0.000
