15-10-23spec_0009_0078.txt

Exposure (ms)	5000
Row number	Wavelength (nm)	Energy (eV)	Amplitude (a.u.)
0.000	53.570	23.144	158.378
1.000	53.738	23.072	158.689
2.000	53.905	23.000	158.911
3.000	54.073	22.929	160.067
4.000	54.240	22.858	159.756
5.000	54.408	22.788	159.400
6.000	54.575	22.718	160.044
7.000	54.742	22.649	159.422
8.000	54.910	22.580	158.556
9.000	55.077	22.511	159.778
10.000	55.245	22.443	158.467
11.000	55.412	22.375	160.689
12.000	55.579	22.308	159.978
13.000	55.747	22.241	159.467
14.000	55.914	22.174	161.111
15.000	56.082	22.108	161.956
16.000	56.249	22.042	160.111
17.000	56.417	21.977	160.978
18.000	56.584	21.912	160.911
19.000	56.751	21.847	162.289
20.000	56.919	21.783	162.133
21.000	57.086	21.719	162.689
22.000	57.254	21.655	163.222
23.000	57.421	21.592	163.511
24.000	57.588	21.529	164.022
25.000	57.756	21.467	164.489
26.000	57.923	21.405	165.600
27.000	58.091	21.343	164.000
28.000	58.258	21.282	164.289
29.000	58.426	21.221	163.467
30.000	58.593	21.160	161.356
31.000	58.760	21.100	160.800
32.000	58.928	21.040	158.600
33.000	59.095	20.980	157.133
34.000	59.263	20.921	157.422
35.000	59.430	20.862	153.378
36.000	59.597	20.804	151.044
37.000	59.765	20.745	145.289
38.000	59.932	20.687	138.933
39.000	60.100	20.630	132.044
40.000	60.267	20.572	125.200
41.000	60.434	20.515	122.378
42.000	60.602	20.459	120.956
43.000	60.769	20.402	120.111
44.000	60.937	20.346	119.578
45.000	61.104	20.291	120.178
46.000	61.272	20.235	119.667
47.000	61.439	20.180	120.044
48.000	61.606	20.125	120.111
49.000	61.774	20.071	118.822
50.000	61.941	20.016	119.356
51.000	62.109	19.962	118.289
52.000	62.276	19.909	119.044
53.000	62.443	19.855	118.511
54.000	62.611	19.802	119.267
55.000	62.778	19.750	120.378
56.000	62.946	19.697	119.911
57.000	63.113	19.645	120.067
58.000	63.281	19.593	120.444
59.000	63.448	19.541	120.533
60.000	63.615	19.490	121.022
61.000	63.783	19.439	121.178
62.000	63.950	19.388	123.756
63.000	64.118	19.337	127.467
64.000	64.285	19.287	129.378
65.000	64.452	19.237	129.911
66.000	64.620	19.187	124.667
67.000	64.787	19.137	123.689
68.000	64.955	19.088	122.089
69.000	65.122	19.039	123.089
70.000	65.290	18.990	123.067
71.000	65.457	18.941	121.956
72.000	65.624	18.893	122.978
73.000	65.792	18.845	124.378
74.000	65.959	18.797	128.178
