15-10-23spec_0009_0019.txt

Exposure (ms)	5000
Row number	Wavelength (nm)	Energy (eV)	Amplitude (a.u.)
0.000	53.570	23.144	232.511
1.000	53.738	23.072	231.444
2.000	53.905	23.000	230.400
3.000	54.073	22.929	232.289
4.000	54.240	22.858	231.867
5.000	54.408	22.788	232.978
6.000	54.575	22.718	232.200
7.000	54.742	22.649	232.333
8.000	54.910	22.580	233.467
9.000	55.077	22.511	232.911
10.000	55.245	22.443	233.356
11.000	55.412	22.375	233.622
12.000	55.579	22.308	232.622
13.000	55.747	22.241	233.667
14.000	55.914	22.174	235.689
15.000	56.082	22.108	236.556
16.000	56.249	22.042	235.533
17.000	56.417	21.977	234.933
18.000	56.584	21.912	236.933
19.000	56.751	21.847	234.111
20.000	56.919	21.783	234.844
21.000	57.086	21.719	236.533
22.000	57.254	21.655	235.533
23.000	57.421	21.592	237.578
24.000	57.588	21.529	238.467
25.000	57.756	21.467	238.778
26.000	57.923	21.405	238.044
27.000	58.091	21.343	238.111
28.000	58.258	21.282	237.844
29.000	58.426	21.221	236.933
30.000	58.593	21.160	234.978
31.000	58.760	21.100	234.911
32.000	58.928	21.040	232.156
33.000	59.095	20.980	228.156
34.000	59.263	20.921	226.178
35.000	59.430	20.862	221.333
36.000	59.597	20.804	215.311
37.000	59.765	20.745	207.356
38.000	59.932	20.687	197.400
39.000	60.100	20.630	186.689
40.000	60.267	20.572	177.956
41.000	60.434	20.515	169.200
42.000	60.602	20.459	167.333
43.000	60.769	20.402	166.556
44.000	60.937	20.346	168.022
45.000	61.104	20.291	167.733
46.000	61.272	20.235	168.622
47.000	61.439	20.180	166.578
48.000	61.606	20.125	166.622
49.000	61.774	20.071	165.022
50.000	61.941	20.016	164.400
51.000	62.109	19.962	163.600
52.000	62.276	19.909	164.067
53.000	62.443	19.855	165.578
54.000	62.611	19.802	165.511
55.000	62.778	19.750	164.933
56.000	62.946	19.697	165.711
57.000	63.113	19.645	165.511
58.000	63.281	19.593	166.956
59.000	63.448	19.541	167.022
60.000	63.615	19.490	170.511
61.000	63.783	19.439	176.067
62.000	63.950	19.388	178.867
63.000	64.118	19.337	175.222
64.000	64.285	19.287	172.489
65.000	64.452	19.237	168.244
66.000	64.620	19.187	166.956
67.000	64.787	19.137	168.489
68.000	64.955	19.088	167.156
69.000	65.122	19.039	166.644
70.000	65.290	18.990	167.289
71.000	65.457	18.941	168.333
72.000	65.624	18.893	167.333
73.000	65.792	18.845	168.578
74.000	65.959	18.797	168.022
75.000	66.127	18.750	167.867
76.000	66.294	18.702	168.422
77.000	66.461	18.655	167.711
78.000	66.629	18.608	169.267
79.000	66.796	18.562	168.644
80.000	66.964	18.515	170.533
81.000	67.131	18.469	170.844
82.000	67.299	18.423	171.689
83.000	67.466	18.377	170.911
84.000	67.633	18.332	170.978
85.000	67.801	18.287	171.644
86.000	67.968	18.242	169.933
87.000	68.136	18.197	172.022
88.000	68.303	18.152	170.689
89.000	68.470	18.108	172.333
90.000	68.638	18.064	173.067
91.000	68.805	18.020	172.911
92.000	68.973	17.976	173.600
93.000	69.140	17.932	172.622
94.000	69.307	17.889	174.489
95.000	69.475	17.846	175.356
96.000	69.642	17.803	177.333
97.000	69.810	17.760	177.044
98.000	69.977	17.718	176.178
99.000	70.145	17.676	178.111
100.000	70.312	17.633	179.089
101.000	70.479	17.592	178.022
102.000	70.647	17.550	179.222
103.000	70.814	17.508	179.933
104.000	70.982	17.467	181.911
105.000	71.149	17.426	180.600
106.000	71.316	17.385	181.356
107.000	71.484	17.344	186.089
108.000	71.651	17.304	186.400
109.000	71.819	17.263	188.978
110.000	71.986	17.223	192.622
111.000	72.154	17.183	200.733
112.000	72.321	17.144	207.267
113.000	72.488	17.104	212.867
114.000	72.656	17.065	214.911
115.000	72.823	17.025	212.022
116.000	72.991	16.986	205.644
117.000	73.158	16.947	200.178
118.000	73.325	16.909	197.311
119.000	73.493	16.870	194.267
120.000	73.660	16.832	196.222
121.000	73.828	16.794	196.956
122.000	73.995	16.756	200.356
123.000	74.163	16.718	200.289
124.000	74.330	16.680	205.400
125.000	74.497	16.643	208.000
126.000	74.665	16.605	211.978
127.000	74.832	16.568	213.733
128.000	75.000	16.531	215.711
129.000	75.167	16.494	223.022
130.000	75.334	16.458	236.644
131.000	75.502	16.421	255.156
132.000	75.669	16.385	275.044
133.000	75.837	16.349	302.111
134.000	76.004	16.313	325.489
135.000	76.171	16.277	334.800
