15-10-23spec_0009_0004.txt

Exposure (ms)	5000
Row number	Wavelength (nm)	Energy (eV)	Amplitude (a.u.)
0.000	53.570	23.144	284.533
1.000	53.738	23.072	285.911
2.000	53.905	23.000	285.578
3.000	54.073	22.929	284.022
4.000	54.240	22.858	286.044
5.000	54.408	22.788	287.978
6.000	54.575	22.718	287.067
7.000	54.742	22.649	285.800
8.000	54.910	22.580	284.756
9.000	55.077	22.511	286.578
10.000	55.245	22.443	286.867
11.000	55.412	22.375	287.844
12.000	55.579	22.308	286.511
13.000	55.747	22.241	286.622
14.000	55.914	22.174	285.956
15.000	56.082	22.108	289.067
16.000	56.249	22.042	287.578
17.000	56.417	21.977	288.289
18.000	56.584	21.912	288.556
19.000	56.751	21.847	288.444
20.000	56.919	21.783	288.311
21.000	57.086	21.719	286.356
22.000	57.254	21.655	288.578
23.000	57.421	21.592	289.156
24.000	57.588	21.529	291.467
25.000	57.756	21.467	290.800
26.000	57.923	21.405	291.133
27.000	58.091	21.343	290.044
28.000	58.258	21.282	290.133
29.000	58.426	21.221	289.644
30.000	58.593	21.160	287.756
31.000	58.760	21.100	286.978
32.000	58.928	21.040	284.311
33.000	59.095	20.980	279.422
34.000	59.263	20.921	277.644
35.000	59.430	20.862	271.444
36.000	59.597	20.804	263.511
37.000	59.765	20.745	254.422
38.000	59.932	20.687	239.822
39.000	60.100	20.630	225.378
40.000	60.267	20.572	213.800
41.000	60.434	20.515	205.022
42.000	60.602	20.459	201.600
43.000	60.769	20.402	201.844
44.000	60.937	20.346	202.756
45.000	61.104	20.291	201.867
46.000	61.272	20.235	202.111
47.000	61.439	20.180	201.956
48.000	61.606	20.125	199.644
49.000	61.774	20.071	197.133
50.000	61.941	20.016	197.911
51.000	62.109	19.962	198.311
52.000	62.276	19.909	197.800
53.000	62.443	19.855	196.289
54.000	62.611	19.802	197.089
55.000	62.778	19.750	198.200
56.000	62.946	19.697	196.444
57.000	63.113	19.645	197.556
58.000	63.281	19.593	200.311
59.000	63.448	19.541	197.044
60.000	63.615	19.490	200.356
61.000	63.783	19.439	199.044
62.000	63.950	19.388	199.578
63.000	64.118	19.337	200.333
64.000	64.285	19.287	200.444
65.000	64.452	19.237	199.178
66.000	64.620	19.187	199.044
67.000	64.787	19.137	201.000
68.000	64.955	19.088	201.733
69.000	65.122	19.039	203.378
70.000	65.290	18.990	207.089
71.000	65.457	18.941	212.711
72.000	65.624	18.893	211.933
73.000	65.792	18.845	208.422
74.000	65.959	18.797	206.756
75.000	66.127	18.750	203.956
76.000	66.294	18.702	203.844
77.000	66.461	18.655	203.933
78.000	66.629	18.608	202.956
79.000	66.796	18.562	203.156
80.000	66.964	18.515	203.778
81.000	67.131	18.469	202.289
82.000	67.299	18.423	205.867
83.000	67.466	18.377	204.556
84.000	67.633	18.332	204.933
85.000	67.801	18.287	207.467
86.000	67.968	18.242	205.111
87.000	68.136	18.197	207.711
88.000	68.303	18.152	204.956
89.000	68.470	18.108	206.711
90.000	68.638	18.064	208.133
91.000	68.805	18.020	209.400
92.000	68.973	17.976	206.978
93.000	69.140	17.932	210.378
94.000	69.307	17.889	209.644
95.000	69.475	17.846	210.333
96.000	69.642	17.803	208.267
97.000	69.810	17.760	210.089
98.000	69.977	17.718	213.378
99.000	70.145	17.676	211.911
100.000	70.312	17.633	212.356
101.000	70.479	17.592	212.956
102.000	70.647	17.550	213.844
103.000	70.814	17.508	212.711
104.000	70.982	17.467	214.578
105.000	71.149	17.426	214.333
106.000	71.316	17.385	218.556
107.000	71.484	17.344	216.911
108.000	71.651	17.304	218.289
109.000	71.819	17.263	221.422
110.000	71.986	17.223	224.067
111.000	72.154	17.183	225.644
112.000	72.321	17.144	228.533
113.000	72.488	17.104	232.778
114.000	72.656	17.065	235.200
115.000	72.823	17.025	238.444
116.000	72.991	16.986	238.556
117.000	73.158	16.947	235.267
118.000	73.325	16.909	231.556
119.000	73.493	16.870	232.578
120.000	73.660	16.832	232.489
121.000	73.828	16.794	234.556
122.000	73.995	16.756	233.800
123.000	74.163	16.718	231.533
124.000	74.330	16.680	231.689
125.000	74.497	16.643	236.533
126.000	74.665	16.605	240.667
127.000	74.832	16.568	244.867
128.000	75.000	16.531	252.244
129.000	75.167	16.494	258.089
130.000	75.334	16.458	265.244
131.000	75.502	16.421	274.333
132.000	75.669	16.385	282.378
133.000	75.837	16.349	289.933
134.000	76.004	16.313	290.867
135.000	76.171	16.277	296.956
136.000	76.339	16.241	317.489
137.000	76.506	16.206	351.622
138.000	76.674	16.170	390.111
139.000	76.841	16.135	420.800
140.000	77.009	16.100	448.844
141.000	77.176	16.065	486.689
142.000	77.343	16.030	526.800
143.000	77.511	15.996	566.822
144.000	77.678	15.961	595.400
145.000	77.846	15.927	628.044
146.000	78.013	15.893	661.289
147.000	78.180	15.859	666.756
148.000	78.348	15.825	652.844
149.000	78.515	15.791	652.089
150.000	78.683	15.757	677.178
151.000	78.850	15.724	706.911
152.000	79.018	15.691	752.978
153.000	79.185	15.658	797.467
154.000	79.352	15.625	800.689
155.000	79.520	15.592	769.267
156.000	79.687	15.559	729.311
157.000	79.855	15.526	696.200
158.000	80.022	15.494	676.111
159.000	80.189	15.461	660.289
160.000	80.357	15.429	652.511
161.000	80.524	15.397	652.844
162.000	80.692	15.365	658.667
163.000	80.859	15.333	655.756
164.000	81.027	15.302	632.444
165.000	81.194	15.270	595.844
166.000	81.361	15.239	561.067
167.000	81.529	15.207	518.333
168.000	81.696	15.176	503.333
169.000	81.864	15.145	529.956
170.000	82.031	15.114	603.778
171.000	82.198	15.084	713.089
172.000	82.366	15.053	833.622
173.000	82.533	15.022	941.156
174.000	82.701	14.992	1041.533
175.000	82.868	14.962	1088.667
176.000	83.036	14.931	1076.044
177.000	83.203	14.901	1044.244
178.000	83.370	14.871	1035.444
179.000	83.538	14.842	1036.600
180.000	83.705	14.812	1007.667
181.000	83.873	14.782	927.622
182.000	84.040	14.753	810.889
183.000	84.207	14.724	682.978
184.000	84.375	14.694	582.489
185.000	84.542	14.665	516.867
186.000	84.710	14.636	515.289
187.000	84.877	14.608	569.844
188.000	85.044	14.579	684.356
189.000	85.212	14.550	841.822
190.000	85.379	14.522	960.511
191.000	85.547	14.493	1013.822
192.000	85.714	14.465	1005.578
193.000	85.882	14.437	983.600
194.000	86.049	14.409	956.200
195.000	86.216	14.381	945.378
196.000	86.384	14.353	978.667
197.000	86.551	14.325	1025.311
198.000	86.719	14.297	1056.867
199.000	86.886	14.270	1049.378
200.000	87.053	14.242	997.756
201.000	87.221	14.215	893.711
202.000	87.388	14.188	789.867
203.000	87.556	14.161	718.356
204.000	87.723	14.134	691.311
205.000	87.891	14.107	695.800
206.000	88.058	14.080	711.378
207.000	88.225	14.053	744.911
208.000	88.393	14.027	782.778
209.000	88.560	14.000	822.133
210.000	88.728	13.974	851.289
211.000	88.895	13.947	874.822
212.000	89.062	13.921	896.333
213.000	89.230	13.895	913.222
214.000	89.397	13.869	933.533
215.000	89.565	13.843	943.111
216.000	89.732	13.817	960.822
217.000	89.900	13.791	988.778
218.000	90.067	13.766	973.467
219.000	90.234	13.740	915.978
220.000	90.402	13.715	858.356
221.000	90.569	13.689	836.244
222.000	90.737	13.664	856.667
223.000	90.904	13.639	848.111
224.000	91.071	13.614	821.311
225.000	91.239	13.589	797.178
226.000	91.406	13.564	766.311
227.000	91.574	13.539	737.689
228.000	91.741	13.515	727.844
229.000	91.908	13.490	717.578
230.000	92.076	13.465	704.200
231.000	92.243	13.441	697.578
232.000	92.411	13.417	710.578
233.000	92.578	13.392	766.022
234.000	92.746	13.368	806.978
235.000	92.913	13.344	788.044
236.000	93.080	13.320	737.244
237.000	93.248	13.296	716.778
238.000	93.415	13.272	744.933
239.000	93.583	13.249	775.156
240.000	93.750	13.225	786.689
241.000	93.917	13.201	781.356
242.000	94.085	13.178	799.711
243.000	94.252	13.154	783.156
244.000	94.420	13.131	739.933
245.000	94.587	13.108	691.756
246.000	94.755	13.085	648.667
247.000	94.922	13.062	642.333
248.000	95.089	13.039	680.844
249.000	95.257	13.016	693.133
250.000	95.424	12.993	688.622
251.000	95.592	12.970	678.267
252.000	95.759	12.948	668.444
253.000	95.926	12.925	660.356
254.000	96.094	12.902	696.578
255.000	96.261	12.880	708.222
256.000	96.429	12.858	674.467
257.000	96.596	12.835	625.533
258.000	96.764	12.813	602.422
259.000	96.931	12.791	591.756
260.000	97.098	12.769	604.667
261.000	97.266	12.747	606.689
262.000	97.433	12.725	589.289
263.000	97.601	12.703	593.956
264.000	97.768	12.681	589.356
265.000	97.935	12.660	566.978
266.000	98.103	12.638	552.889
267.000	98.270	12.617	567.244
268.000	98.438	12.595	577.244
269.000	98.605	12.574	582.644
270.000	98.773	12.553	591.244
271.000	98.940	12.531	577.311
272.000	99.107	12.510	542.889
273.000	99.275	12.489	530.000
274.000	99.442	12.468	519.644
275.000	99.610	12.447	489.289
276.000	99.777	12.426	436.267
277.000	99.944	12.405	406.356
278.000	100.112	12.385	395.044
279.000	100.279	12.364	396.000
280.000	100.447	12.343	410.800
281.000	100.614	12.323	429.311
282.000	100.781	12.302	452.044
283.000	100.949	12.282	493.067
284.000	101.116	12.262	527.533
285.000	101.284	12.241	506.978
286.000	101.451	12.221	473.956
287.000	101.619	12.201	458.000
288.000	101.786	12.181	462.400
289.000	101.953	12.161	441.889
290.000	102.121	12.141	417.600
291.000	102.288	12.121	415.578
292.000	102.456	12.101	411.978
293.000	102.623	12.082	397.400
294.000	102.790	12.062	382.022
295.000	102.958	12.042	373.911
296.000	103.125	12.023	367.378
297.000	103.293	12.003	352.200
298.000	103.460	11.984	339.000
299.000	103.628	11.964	336.289
300.000	103.795	11.945	337.400
301.000	103.962	11.926	336.133
302.000	104.130	11.907	337.378
303.000	104.297	11.888	343.467
304.000	104.465	11.869	345.844
305.000	104.632	11.850	337.733
306.000	104.799	11.831	331.733
307.000	104.967	11.812	321.133
308.000	105.134	11.793	312.511
309.000	105.302	11.774	307.911
310.000	105.469	11.755	319.578
311.000	105.637	11.737	331.889
312.000	105.804	11.718	341.178
313.000	105.971	11.700	348.311
314.000	106.139	11.681	358.178
315.000	106.306	11.663	357.289
316.000	106.474	11.645	347.422
317.000	106.641	11.626	333.800
318.000	106.808	11.608	337.356
319.000	106.976	11.590	354.044
320.000	107.143	11.572	356.089
321.000	107.311	11.554	346.511
322.000	107.478	11.536	343.733
323.000	107.645	11.518	351.978
324.000	107.813	11.500	358.689
325.000	107.980	11.482	374.844
326.000	108.148	11.464	396.422
327.000	108.315	11.447	415.667
328.000	108.483	11.429	407.978
329.000	108.650	11.411	372.244
330.000	108.817	11.394	333.622
331.000	108.985	11.376	312.556
