15-10-23spec_0009_0175.txt

Exposure (ms)	5000
Row number	Wavelength (nm)	Energy (eV)	Amplitude (a.u.)
0.000	53.570	23.144	143.311
1.000	53.738	23.072	144.200
2.000	53.905	23.000	143.911
3.000	54.073	22.929	144.311
4.000	54.240	22.858	144.111
5.000	54.408	22.788	144.178
6.000	54.575	22.718	145.400
7.000	54.742	22.649	146.000
8.000	54.910	22.580	144.156
9.000	55.077	22.511	144.422
10.000	55.245	22.443	146.289
11.000	55.412	22.375	144.600
12.000	55.579	22.308	145.222
13.000	55.747	22.241	144.822
14.000	55.914	22.174	145.622
15.000	56.082	22.108	144.956
16.000	56.249	22.042	145.333
17.000	56.417	21.977	145.600
18.000	56.584	21.912	146.400
19.000	56.751	21.847	146.533
20.000	56.919	21.783	146.578
21.000	57.086	21.719	147.867
22.000	57.254	21.655	148.911
23.000	57.421	21.592	148.356
24.000	57.588	21.529	149.467
25.000	57.756	21.467	149.711
26.000	57.923	21.405	149.800
27.000	58.091	21.343	148.133
28.000	58.258	21.282	149.467
29.000	58.426	21.221	147.733
30.000	58.593	21.160	148.178
31.000	58.760	21.100	145.289
32.000	58.928	21.040	144.022
33.000	59.095	20.980	143.800
34.000	59.263	20.921	141.733
35.000	59.430	20.862	139.556
36.000	59.597	20.804	137.600
37.000	59.765	20.745	133.467
38.000	59.932	20.687	128.356
39.000	60.100	20.630	120.756
40.000	60.267	20.572	115.556
41.000	60.434	20.515	112.133
42.000	60.602	20.459	111.044
43.000	60.769	20.402	111.311
44.000	60.937	20.346	110.244
45.000	61.104	20.291	111.133
46.000	61.272	20.235	110.156
47.000	61.439	20.180	109.867
48.000	61.606	20.125	109.911
49.000	61.774	20.071	110.733
50.000	61.941	20.016	109.956
51.000	62.109	19.962	109.778
52.000	62.276	19.909	108.356
53.000	62.443	19.855	108.711
54.000	62.611	19.802	110.667
55.000	62.778	19.750	111.867
56.000	62.946	19.697	112.156
57.000	63.113	19.645	115.467
58.000	63.281	19.593	116.533
59.000	63.448	19.541	113.356
60.000	63.615	19.490	111.444
61.000	63.783	19.439	111.133
62.000	63.950	19.388	111.756
63.000	64.118	19.337	111.600
64.000	64.285	19.287	111.067
65.000	64.452	19.237	111.333
66.000	64.620	19.187	112.244
67.000	64.787	19.137	112.044
68.000	64.955	19.088	112.133
69.000	65.122	19.039	111.556
