15-10-23spec_0009_0080.txt

Exposure (ms)	5000
Row number	Wavelength (nm)	Energy (eV)	Amplitude (a.u.)
0.000	53.570	23.144	166.089
1.000	53.738	23.072	165.222
2.000	53.905	23.000	164.911
3.000	54.073	22.929	165.089
4.000	54.240	22.858	165.644
5.000	54.408	22.788	166.222
6.000	54.575	22.718	165.267
7.000	54.742	22.649	165.333
8.000	54.910	22.580	166.822
9.000	55.077	22.511	165.022
10.000	55.245	22.443	167.089
11.000	55.412	22.375	167.156
12.000	55.579	22.308	165.289
13.000	55.747	22.241	165.289
14.000	55.914	22.174	167.711
15.000	56.082	22.108	167.267
16.000	56.249	22.042	166.089
17.000	56.417	21.977	168.178
18.000	56.584	21.912	168.422
19.000	56.751	21.847	168.244
20.000	56.919	21.783	168.133
21.000	57.086	21.719	168.022
22.000	57.254	21.655	169.378
23.000	57.421	21.592	169.844
24.000	57.588	21.529	170.800
25.000	57.756	21.467	170.200
26.000	57.923	21.405	170.333
27.000	58.091	21.343	170.133
28.000	58.258	21.282	169.511
29.000	58.426	21.221	169.089
30.000	58.593	21.160	169.333
31.000	58.760	21.100	167.356
32.000	58.928	21.040	166.467
33.000	59.095	20.980	164.178
34.000	59.263	20.921	160.867
35.000	59.430	20.862	159.444
36.000	59.597	20.804	155.200
37.000	59.765	20.745	150.200
38.000	59.932	20.687	144.222
39.000	60.100	20.630	135.244
40.000	60.267	20.572	129.889
41.000	60.434	20.515	125.533
42.000	60.602	20.459	123.733
43.000	60.769	20.402	124.267
44.000	60.937	20.346	122.911
45.000	61.104	20.291	124.267
46.000	61.272	20.235	123.889
47.000	61.439	20.180	121.600
48.000	61.606	20.125	123.089
49.000	61.774	20.071	122.333
50.000	61.941	20.016	122.422
51.000	62.109	19.962	121.556
52.000	62.276	19.909	122.200
53.000	62.443	19.855	121.067
54.000	62.611	19.802	123.067
55.000	62.778	19.750	122.556
56.000	62.946	19.697	122.111
57.000	63.113	19.645	122.244
58.000	63.281	19.593	121.178
59.000	63.448	19.541	123.667
60.000	63.615	19.490	122.822
61.000	63.783	19.439	122.622
62.000	63.950	19.388	123.822
63.000	64.118	19.337	124.333
64.000	64.285	19.287	123.533
65.000	64.452	19.237	123.467
66.000	64.620	19.187	124.200
67.000	64.787	19.137	123.778
68.000	64.955	19.088	123.133
69.000	65.122	19.039	123.644
70.000	65.290	18.990	124.644
71.000	65.457	18.941	123.067
72.000	65.624	18.893	123.244
73.000	65.792	18.845	124.511
74.000	65.959	18.797	124.378
75.000	66.127	18.750	124.267
76.000	66.294	18.702	125.267
77.000	66.461	18.655	126.000
78.000	66.629	18.608	125.333
79.000	66.796	18.562	126.044
80.000	66.964	18.515	126.600
81.000	67.131	18.469	126.022
82.000	67.299	18.423	125.556
83.000	67.466	18.377	125.911
84.000	67.633	18.332	127.800
85.000	67.801	18.287	128.244
86.000	67.968	18.242	127.200
87.000	68.136	18.197	128.600
88.000	68.303	18.152	128.844
89.000	68.470	18.108	129.422
90.000	68.638	18.064	130.600
91.000	68.805	18.020	130.978
92.000	68.973	17.976	129.778
93.000	69.140	17.932	132.533
94.000	69.307	17.889	133.333
95.000	69.475	17.846	137.289
96.000	69.642	17.803	140.511
97.000	69.810	17.760	147.511
98.000	69.977	17.718	147.356
99.000	70.145	17.676	143.778
100.000	70.312	17.633	140.800
101.000	70.479	17.592	140.467
102.000	70.647	17.550	143.689
103.000	70.814	17.508	149.422
104.000	70.982	17.467	152.067
105.000	71.149	17.426	153.133
106.000	71.316	17.385	152.244
107.000	71.484	17.344	148.978
108.000	71.651	17.304	144.333
109.000	71.819	17.263	143.467
110.000	71.986	17.223	144.556
111.000	72.154	17.183	144.289
112.000	72.321	17.144	144.800
113.000	72.488	17.104	145.378
114.000	72.656	17.065	147.289
115.000	72.823	17.025	149.778
116.000	72.991	16.986	153.644
117.000	73.158	16.947	159.778
118.000	73.325	16.909	166.044
119.000	73.493	16.870	163.711
120.000	73.660	16.832	163.956
121.000	73.828	16.794	165.156
122.000	73.995	16.756	172.200
123.000	74.163	16.718	181.133
124.000	74.330	16.680	185.156
125.000	74.497	16.643	192.111
126.000	74.665	16.605	202.756
127.000	74.832	16.568	217.467
128.000	75.000	16.531	232.000
129.000	75.167	16.494	253.622
130.000	75.334	16.458	280.222
131.000	75.502	16.421	298.200
132.000	75.669	16.385	315.622
133.000	75.837	16.349	325.956
134.000	76.004	16.313	343.689
135.000	76.171	16.277	372.978
136.000	76.339	16.241	420.311
137.000	76.506	16.206	473.978
138.000	76.674	16.170	527.556
139.000	76.841	16.135	563.089
140.000	77.009	16.100	578.422
141.000	77.176	16.065	589.956
142.000	77.343	16.030	624.511
143.000	77.511	15.996	650.333
144.000	77.678	15.961	653.978
145.000	77.846	15.927	644.578
146.000	78.013	15.893	654.489
147.000	78.180	15.859	681.756
148.000	78.348	15.825	704.178
149.000	78.515	15.791	713.933
150.000	78.683	15.757	716.889
151.000	78.850	15.724	747.111
152.000	79.018	15.691	797.711
153.000	79.185	15.658	830.467
154.000	79.352	15.625	845.022
155.000	79.520	15.592	835.178
156.000	79.687	15.559	789.111
157.000	79.855	15.526	741.644
158.000	80.022	15.494	700.400
159.000	80.189	15.461	646.244
160.000	80.357	15.429	598.711
161.000	80.524	15.397	577.867
162.000	80.692	15.365	566.044
163.000	80.859	15.333	560.733
164.000	81.027	15.302	532.000
165.000	81.194	15.270	482.911
166.000	81.361	15.239	442.689
167.000	81.529	15.207	413.933
168.000	81.696	15.176	403.489
169.000	81.864	15.145	420.644
170.000	82.031	15.114	473.844
171.000	82.198	15.084	544.867
172.000	82.366	15.053	627.622
173.000	82.533	15.022	702.978
174.000	82.701	14.992	786.178
175.000	82.868	14.962	876.133
176.000	83.036	14.931	927.578
177.000	83.203	14.901	943.911
