15-10-23spec_0009_0075.txt

Exposure (ms)	5000
Row number	Wavelength (nm)	Energy (eV)	Amplitude (a.u.)
0.000	53.570	23.144	168.600
1.000	53.738	23.072	166.289
2.000	53.905	23.000	169.333
3.000	54.073	22.929	168.600
4.000	54.240	22.858	169.289
5.000	54.408	22.788	167.600
6.000	54.575	22.718	168.956
7.000	54.742	22.649	166.733
8.000	54.910	22.580	169.044
9.000	55.077	22.511	167.689
10.000	55.245	22.443	168.578
11.000	55.412	22.375	170.578
12.000	55.579	22.308	168.156
13.000	55.747	22.241	168.889
14.000	55.914	22.174	169.733
15.000	56.082	22.108	169.844
16.000	56.249	22.042	169.444
17.000	56.417	21.977	170.400
18.000	56.584	21.912	170.400
19.000	56.751	21.847	170.867
20.000	56.919	21.783	171.356
21.000	57.086	21.719	173.556
22.000	57.254	21.655	171.222
23.000	57.421	21.592	173.044
24.000	57.588	21.529	173.289
25.000	57.756	21.467	173.022
26.000	57.923	21.405	174.556
27.000	58.091	21.343	174.333
28.000	58.258	21.282	172.156
29.000	58.426	21.221	172.822
30.000	58.593	21.160	171.622
31.000	58.760	21.100	170.156
32.000	58.928	21.040	169.667
33.000	59.095	20.980	167.622
34.000	59.263	20.921	165.156
35.000	59.430	20.862	162.133
36.000	59.597	20.804	158.933
37.000	59.765	20.745	152.800
38.000	59.932	20.687	146.822
39.000	60.100	20.630	139.289
40.000	60.267	20.572	132.600
41.000	60.434	20.515	128.600
42.000	60.602	20.459	127.178
43.000	60.769	20.402	126.178
44.000	60.937	20.346	126.089
45.000	61.104	20.291	127.178
46.000	61.272	20.235	126.689
47.000	61.439	20.180	126.089
48.000	61.606	20.125	127.222
49.000	61.774	20.071	125.800
50.000	61.941	20.016	128.556
51.000	62.109	19.962	128.422
52.000	62.276	19.909	132.578
53.000	62.443	19.855	136.933
54.000	62.611	19.802	140.222
55.000	62.778	19.750	137.222
56.000	62.946	19.697	131.444
57.000	63.113	19.645	129.178
58.000	63.281	19.593	128.422
59.000	63.448	19.541	126.022
60.000	63.615	19.490	126.689
61.000	63.783	19.439	128.489
62.000	63.950	19.388	126.333
63.000	64.118	19.337	126.689
64.000	64.285	19.287	128.111
65.000	64.452	19.237	129.667
66.000	64.620	19.187	130.511
67.000	64.787	19.137	132.311
68.000	64.955	19.088	131.578
69.000	65.122	19.039	129.711
70.000	65.290	18.990	130.400
71.000	65.457	18.941	128.978
72.000	65.624	18.893	128.956
73.000	65.792	18.845	129.667
74.000	65.959	18.797	133.289
75.000	66.127	18.750	132.400
76.000	66.294	18.702	135.733
77.000	66.461	18.655	140.111
78.000	66.629	18.608	144.622
79.000	66.796	18.562	153.933
80.000	66.964	18.515	154.889
81.000	67.131	18.469	151.622
82.000	67.299	18.423	145.178
83.000	67.466	18.377	141.200
84.000	67.633	18.332	140.378
85.000	67.801	18.287	143.444
86.000	67.968	18.242	149.044
87.000	68.136	18.197	153.267
88.000	68.303	18.152	155.089
89.000	68.470	18.108	151.067
90.000	68.638	18.064	143.867
91.000	68.805	18.020	140.533
92.000	68.973	17.976	141.044
93.000	69.140	17.932	139.689
94.000	69.307	17.889	140.400
95.000	69.475	17.846	140.667
96.000	69.642	17.803	142.089
97.000	69.810	17.760	143.444
98.000	69.977	17.718	146.333
99.000	70.145	17.676	149.533
100.000	70.312	17.633	158.467
101.000	70.479	17.592	169.556
102.000	70.647	17.550	181.733
103.000	70.814	17.508	186.956
104.000	70.982	17.467	183.956
105.000	71.149	17.426	180.867
106.000	71.316	17.385	177.756
107.000	71.484	17.344	174.311
108.000	71.651	17.304	173.644
109.000	71.819	17.263	172.000
110.000	71.986	17.223	166.356
111.000	72.154	17.183	168.467
112.000	72.321	17.144	175.911
113.000	72.488	17.104	185.822
114.000	72.656	17.065	194.711
115.000	72.823	17.025	196.956
116.000	72.991	16.986	195.978
117.000	73.158	16.947	196.378
118.000	73.325	16.909	191.267
119.000	73.493	16.870	184.156
120.000	73.660	16.832	182.489
121.000	73.828	16.794	188.622
122.000	73.995	16.756	202.667
123.000	74.163	16.718	218.956
124.000	74.330	16.680	233.022
125.000	74.497	16.643	259.800
126.000	74.665	16.605	294.711
127.000	74.832	16.568	327.067
128.000	75.000	16.531	349.911
129.000	75.167	16.494	370.178
130.000	75.334	16.458	391.822
131.000	75.502	16.421	421.622
132.000	75.669	16.385	456.267
133.000	75.837	16.349	500.067
134.000	76.004	16.313	556.822
135.000	76.171	16.277	606.911
136.000	76.339	16.241	664.933
137.000	76.506	16.206	710.489
138.000	76.674	16.170	742.689
139.000	76.841	16.135	739.156
140.000	77.009	16.100	721.711
141.000	77.176	16.065	728.378
142.000	77.343	16.030	770.533
143.000	77.511	15.996	806.689
144.000	77.678	15.961	845.644
145.000	77.846	15.927	890.511
146.000	78.013	15.893	920.311
147.000	78.180	15.859	915.111
148.000	78.348	15.825	898.333
149.000	78.515	15.791	871.022
150.000	78.683	15.757	821.489
151.000	78.850	15.724	778.356
152.000	79.018	15.691	779.600
153.000	79.185	15.658	803.333
154.000	79.352	15.625	823.311
155.000	79.520	15.592	839.978
156.000	79.687	15.559	881.444
157.000	79.855	15.526	916.711
158.000	80.022	15.494	920.444
159.000	80.189	15.461	873.200
160.000	80.357	15.429	833.889
161.000	80.524	15.397	798.689
