15-10-23spec_0009_0185.txt

Exposure (ms)	5000
Row number	Wavelength (nm)	Energy (eV)	Amplitude (a.u.)
0.000	53.570	23.144	138.889
1.000	53.738	23.072	139.444
2.000	53.905	23.000	140.444
3.000	54.073	22.929	139.844
4.000	54.240	22.858	140.222
5.000	54.408	22.788	139.778
6.000	54.575	22.718	140.356
7.000	54.742	22.649	139.956
8.000	54.910	22.580	139.956
9.000	55.077	22.511	140.044
10.000	55.245	22.443	140.089
11.000	55.412	22.375	142.533
12.000	55.579	22.308	141.911
13.000	55.747	22.241	141.667
14.000	55.914	22.174	140.644
15.000	56.082	22.108	141.533
16.000	56.249	22.042	141.400
17.000	56.417	21.977	141.444
18.000	56.584	21.912	139.889
19.000	56.751	21.847	142.000
20.000	56.919	21.783	142.444
21.000	57.086	21.719	143.178
22.000	57.254	21.655	143.156
23.000	57.421	21.592	145.089
24.000	57.588	21.529	144.600
25.000	57.756	21.467	143.067
26.000	57.923	21.405	145.556
27.000	58.091	21.343	143.244
28.000	58.258	21.282	143.378
29.000	58.426	21.221	143.156
30.000	58.593	21.160	143.711
31.000	58.760	21.100	141.444
32.000	58.928	21.040	139.644
33.000	59.095	20.980	139.000
34.000	59.263	20.921	137.156
35.000	59.430	20.862	135.067
36.000	59.597	20.804	132.600
37.000	59.765	20.745	128.667
38.000	59.932	20.687	123.200
39.000	60.100	20.630	118.778
40.000	60.267	20.572	112.600
41.000	60.434	20.515	108.511
42.000	60.602	20.459	107.622
43.000	60.769	20.402	107.778
44.000	60.937	20.346	107.933
45.000	61.104	20.291	107.600
46.000	61.272	20.235	108.844
47.000	61.439	20.180	107.044
48.000	61.606	20.125	107.756
49.000	61.774	20.071	110.556
50.000	61.941	20.016	115.533
51.000	62.109	19.962	117.489
52.000	62.276	19.909	116.022
53.000	62.443	19.855	112.000
54.000	62.611	19.802	110.244
55.000	62.778	19.750	107.622
56.000	62.946	19.697	108.244
57.000	63.113	19.645	107.778
58.000	63.281	19.593	107.978
59.000	63.448	19.541	107.667
60.000	63.615	19.490	107.467
61.000	63.783	19.439	108.356
62.000	63.950	19.388	107.733
63.000	64.118	19.337	108.667
64.000	64.285	19.287	107.822
65.000	64.452	19.237	108.200
66.000	64.620	19.187	108.622
67.000	64.787	19.137	110.356
68.000	64.955	19.088	110.378
69.000	65.122	19.039	114.467
70.000	65.290	18.990	116.978
71.000	65.457	18.941	115.867
72.000	65.624	18.893	113.156
73.000	65.792	18.845	109.822
74.000	65.959	18.797	109.333
75.000	66.127	18.750	109.600
76.000	66.294	18.702	109.378
77.000	66.461	18.655	110.156
78.000	66.629	18.608	110.622
79.000	66.796	18.562	112.067
80.000	66.964	18.515	113.267
81.000	67.131	18.469	114.867
82.000	67.299	18.423	112.956
83.000	67.466	18.377	114.778
84.000	67.633	18.332	117.556
85.000	67.801	18.287	123.044
86.000	67.968	18.242	123.467
87.000	68.136	18.197	118.200
88.000	68.303	18.152	116.644
89.000	68.470	18.108	116.933
90.000	68.638	18.064	114.444
91.000	68.805	18.020	112.489
92.000	68.973	17.976	112.822
93.000	69.140	17.932	112.622
94.000	69.307	17.889	113.267
95.000	69.475	17.846	113.956
96.000	69.642	17.803	114.889
97.000	69.810	17.760	116.400
98.000	69.977	17.718	117.822
99.000	70.145	17.676	121.089
100.000	70.312	17.633	125.733
101.000	70.479	17.592	129.311
102.000	70.647	17.550	129.222
103.000	70.814	17.508	122.689
104.000	70.982	17.467	121.133
105.000	71.149	17.426	119.178
106.000	71.316	17.385	119.089
107.000	71.484	17.344	118.933
108.000	71.651	17.304	120.178
109.000	71.819	17.263	121.111
110.000	71.986	17.223	123.178
111.000	72.154	17.183	121.933
112.000	72.321	17.144	122.911
113.000	72.488	17.104	126.000
114.000	72.656	17.065	127.489
115.000	72.823	17.025	131.333
116.000	72.991	16.986	139.467
117.000	73.158	16.947	145.689
118.000	73.325	16.909	149.778
119.000	73.493	16.870	147.400
120.000	73.660	16.832	145.356
121.000	73.828	16.794	138.133
122.000	73.995	16.756	134.267
123.000	74.163	16.718	136.378
124.000	74.330	16.680	138.933
125.000	74.497	16.643	143.378
126.000	74.665	16.605	145.200
127.000	74.832	16.568	142.711
128.000	75.000	16.531	142.000
129.000	75.167	16.494	144.889
130.000	75.334	16.458	155.222
131.000	75.502	16.421	164.156
132.000	75.669	16.385	180.556
133.000	75.837	16.349	199.000
134.000	76.004	16.313	218.600
135.000	76.171	16.277	237.556
136.000	76.339	16.241	259.978
137.000	76.506	16.206	293.600
138.000	76.674	16.170	341.489
139.000	76.841	16.135	376.356
140.000	77.009	16.100	397.556
141.000	77.176	16.065	417.444
142.000	77.343	16.030	444.756
143.000	77.511	15.996	461.200
144.000	77.678	15.961	492.044
145.000	77.846	15.927	517.889
146.000	78.013	15.893	545.667
147.000	78.180	15.859	574.889
148.000	78.348	15.825	592.711
149.000	78.515	15.791	600.622
150.000	78.683	15.757	602.311
151.000	78.850	15.724	590.822
152.000	79.018	15.691	588.911
153.000	79.185	15.658	618.133
154.000	79.352	15.625	661.156
155.000	79.520	15.592	666.511
156.000	79.687	15.559	645.933
157.000	79.855	15.526	629.000
158.000	80.022	15.494	639.533
